question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which Carmelite reformer wrote The Interior Castle?,Teresa of Avila,Angela Merici,Catherine de' Ricci,Mary Ward,1,2
Which French king issued the Edict of Nantes in 1598?,Francis I,Louis XIII,Henry IV,Charles IX,3,2
Which Swiss reformer succeeded Zwingli as chief pastor in Zurich?,Martin Bucer,Heinrich Bullinger,Guillaume Farel,Johannes Oecolampadius,2,3
Who wrote The First Blast of the Trumpet against the Monstrous Regiment of Women?,George Buchanan,Patrick Hamilton,John Winram,John Knox,4,3
Which former Catholic priest became the namesake of the Mennonites?,Balthasar Hubmaier,Menno Simons,Conrad Grebel,Hans Denck,2,3
Which women's order traces its origins to Angela Merici's 1535 company in Brescia?,Ursulines,Poor Clares,Visitandines,Daughters of Charity,1,3
Who was the chief author of the Belgic Confession?,Zacharias Ursinus,Heinrich Bullinger,Theodore Beza,Guido de Bres,4,4
Which ruler convened the 1529 Colloquy of Marburg?,Frederick the Wise,Maurice of Saxony,Philip of Hesse,Joachim II of Brandenburg,3,4
Who became the first archbishop of Canterbury under Elizabeth I?,Matthew Parker,Edmund Grindal,John Whitgift,Thomas Cranmer,1,4
Which pope established the Roman Inquisition in 1542?,Julius III,Paul III,Pius IV,Sixtus V,2,4
Who is generally credited as chief author of the 1527 Schleitheim Confession?,Pilgram Marpeck,Conrad Grebel,Michael Sattler,Melchior Hoffman,3,5
Who served as the first rector of Geneva's academy when it opened in 1559?,Pierre Viret,Guillaume Farel,Heinrich Bullinger,Theodore Beza,4,5
Which 1577 document sought to resolve disputes among German Lutherans?,Formula of Concord,Book of Common Order,Consensus Tigurinus,Second Helvetic Confession,1,5
Who wrote the 1562 Apology of the Church of England?,Richard Hooker,Matthew Parker,John Jewel,John Whitgift,3,5
Which Latin maxim summarized the territorial rule of the Peace of Augsburg?,Sola scriptura,"Lex orandi, lex credendi",Ecclesia semper reformanda,"Cuius regio, eius religio",4,6
Which 1549 agreement joined Calvin and Bullinger on the Lord's Supper?,Tetrapolitan Confession,Consensus Tigurinus,Leuenberg Agreement,Formula of Concord,2,6
Which Anabaptist leader was burned at the stake in Innsbruck in 1536?,Hans Hut,Leonhard Schiemer,Peter Walpot,Jakob Hutter,4,6
Which Scottish reformer became principal of Glasgow University in 1574?,George Wishart,Andrew Melville,Robert Rollock,Alexander Henderson,2,6
Which 1648 settlement gave Calvinism legal recognition in the Holy Roman Empire?,Peace of Augsburg,Edict of Nantes,Peace of Westphalia,Treaty of Passau,3,7
Whose Franciscan reform led to the formation of the Capuchins?,Matteo da Bascio,Gaetano of Thiene,Philip Neri,Peter of Alcantara,1,7
Who became king of Anabaptist Munster after Jan Matthys died?,Bernhard Rothmann,Jan van Batenburg,Bernhard Knipperdolling,John of Leiden,4,7
Which 1521 work by Melanchthon systematized early Lutheran theology?,Loci Communes,The Bondage of the Will,Commentary on Romans,Apology of the Augsburg Confession,1,7
Which Anabaptist hymnbook was first printed in 1564 and remains in Amish use?,Lobwasser Psalter,Ausbund,Genevan Psalter,Erfurt Enchiridion,2,8
Which elector of the Palatinate commissioned the Heidelberg Catechism?,Otto Henry,John Casimir,Frederick III,Frederick V,3,8
