question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
In Matthew's parable what did the foolish wedding attendants fail to bring?,Extra lamp wicks,Extra oil for their lamps,Bread for the journey,Coins for the feast,2,2
Who had five barley loaves and two fish before Jesus fed the crowd in John?,Andrew,Philip,A nearby farmer,A boy,4,2
In Mark what does the name Boanerges mean?,Sons of Thunder,Sons of Light,Sons of the Covenant,Sons of Consolation,1,3
Why was a guest removed from the wedding feast in Matthew's parable?,He arrived after the doors closed,He refused the king's invitation,He lacked wedding clothes,He would not greet the bridegroom,3,3
Which woman does Luke name with Mary Magdalene and Joanna among those supporting Jesus?,Martha,Salome,Damaris,Susanna,4,3
What kind of containers held the water Jesus turned to wine in John's Gospel?,Clay amphorae for grain,Stone jars used for purification,Bronze basins for washing feet,Leather wineskins for travel,2,3
In Matthew who sold everything to buy one pearl of great value?,A farmer who found treasure,A fisherman sorting a catch,A merchant seeking fine pearls,A steward settling accounts,3,4
Where was Jesus sleeping during the storm in Mark?,In the stern on a cushion,At the bow under a cloak,Below deck on a mat,Beside the mast on a bench,1,4
Which disciples wanted to call down fire on a Samaritan village in Luke?,Peter and Andrew,James and John,Philip and Nathanael,Thomas and Matthew,2,4
What did Jesus use to make a whip when clearing the Temple courts in John?,A wooden staff,A reed,A metal chain,Cords,4,4
In Matthew's sheep and goats scene where does the shepherd place the goats?,On his left,Behind the sheep,Outside the fold,At the gate,1,5
Which group joined the Pharisees in plotting after Jesus healed on the Sabbath in Mark?,The Sadducees,The chief priests,The scribes,The Herodians,4,5
In Luke's friend-at-midnight example how many loaves does a man ask his neighbor for?,One loaf,Three loaves,Five loaves,Seven loaves,2,5
Who urged the disciples to go with Jesus to Judea even if it meant dying with him in John?,Andrew,Philip,Thomas,Nathanael,3,5
Where did Jesus explain the parable of the weeds to his disciples in Matthew?,Beside the sea,Inside a synagogue,On a mountain,Inside a house,4,6
In Mark's mission instructions what could the disciples take for their journey?,A staff,Bread,A travel bag,Money,1,6
Whom did Jesus call a daughter of Abraham after a Sabbath healing in Luke?,A widow whose son had died,A woman with a flow of blood,A woman bent over for eighteen years,A woman healed of leprosy,3,6
In John where was Jesus walking during the winter Feast of Dedication?,The Court of the Women,Solomon's colonnade or porch,The Pool of Bethesda,The Mount of Olives,2,6
What story were the tomb guards bribed to tell in Matthew?,An earthquake carried the body away,Pilate secretly moved the body,The disciples stole the body while they slept,The gardener moved the body at dawn,3,7
How does Mark describe the woman who begged Jesus to free her daughter from a demon?,A Greek or Gentile of Syrophoenician origin,A Samaritan from Sychar,A Roman from Caesarea,A Judean from Bethany,1,7
Which structure's collapse killed eighteen people according to Jesus in Luke?,Jericho's city wall,A portico at Bethesda,Penuel's tower,The tower in Siloam,4,7
In John's farewell discourse who asked why Jesus would reveal himself to them but not the world?,Thomas,Judas not Iscariot,Philip,Andrew,2,7
At Bethsaida what did the partly healed blind man initially say people resembled in Mark?,Trees moving around,Shadows on a wall,Reeds bending in wind,Stone pillars,1,8
In Luke's rich man and Lazarus story how many brothers did the rich man say he had?,Two brothers,Three brothers,Five brothers,Seven brothers,3,8
