question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
According to Hebrews who is the great high priest who passed through the heavens?,Moses,Aaron,Melchizedek,Jesus,4,2
How many churches receive individual messages in Revelation chapters 2 and 3?,Five,Seven,Twelve,Twenty-four,2,2
Which New Testament book describes a new heaven and a new earth near its end?,Romans,Hebrews,Revelation,Jude,3,2
In which chapter of Hebrews is the long catalog of witnesses of faith?,7,9,11,13,3,3
According to James what should a person ask God for when lacking it?,Courage,Wealth,Wisdom,Health,3,3
Which general epistle calls believers a chosen race and a royal priesthood?,James,1 Peter,2 John,Jude,2,3
In Hebrews what is sharper than any two-edged sword?,Law of Moses,Word of God,Voice of angels,Sword of Gideon,2,4
James compares the tongue to what that can set a forest ablaze?,A small fire,A broken rudder,A leaking jar,A fading flower,1,4
First John states that God is what and in him is no darkness?,Love,Spirit,Light,Truth,3,4
What name is given to the rider on the pale horse in Revelation?,Conquest,Famine,Death,War,3,4
How many elders surround the heavenly throne in Revelation?,Seven,Twelve,Twenty-four,One hundred forty-four,3,4
In Hebrews 4 which Israelite leader is said not to have given final rest?,Caleb,Joshua,Moses,Aaron,2,5
Which prophet does James cite as praying that rain would stop?,Elisha,Isaiah,Elijah,Jeremiah,3,5
In 2 Peter what event does the author recall when a voice came from the Majestic Glory?,Ascension,Pentecost,Transfiguration,Resurrection,3,5
What is each of the twelve gates of the New Jerusalem made from?,Jasper,Gold,One pearl,Crystal,3,5
According to Hebrews 9 what figures overshadowed the mercy seat?,Seraphim,Cherubim,Elders,Living creatures,2,6
Whom does 1 Peter cite as obeying Abraham and calling him lord?,Hagar,Rebekah,Rachel,Sarah,4,6
To whom is 2 John addressed?,Twelve scattered tribes,Churches of Pontus,Elect lady and her children,Philemon and his household,3,6
What name is given to the star that makes waters bitter in Revelation?,Abaddon,Wormwood,Marah,Apollyon,2,6
Which patriarch does James cite as offering his son on the altar?,Jacob,Abraham,Isaac,Moses,2,6
In Hebrews 7 who receives a tenth of the spoils from Abraham?,Aaron,Levi,Melchizedek,Moses,3,7
Which archangel disputes with the devil over the body of Moses in Jude?,Gabriel,Michael,Raphael,Uriel,2,7
What Hebrew name is given to the king over the abyss in Revelation?,Wormwood,Apollyon,Abaddon,Armageddon,3,7
According to Hebrews 10 the blood of bulls and what other animals cannot take away sins?,Sheep,Goats,Doves,Rams,2,8
