question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who interpreted dreams while imprisoned in Egypt?,Joseph,Daniel,Nehemiah,Ezra,1,2
What was the name of Adam's wife?,Sarah,Eve,Rebekah,Leah,2,2
Who led Israel in song after crossing the sea?,Miriam,Deborah,Hannah,Abigail,1,3
Which apostle was the brother of John?,Peter,Andrew,James,Philip,3,3
Which Gospel was written by a physician according to tradition?,Matthew,Mark,Luke,John,3,3
Who was the father of Isaac?,Jacob,Abraham,Noah,Terah,2,4
Which prophet told Naaman to wash in the Jordan?,Elijah,Elisha,Isaiah,Jeremiah,2,4
Which king made a golden image on the plain of Dura?,Nebuchadnezzar,Belshazzar,Darius,Cyrus,1,5
Who was the mother of Timothy?,Lois,Eunice,Lydia,Phoebe,2,4
Which epistle says faith without works is dead?,Romans,James,Hebrews,Jude,2,4
Which city was Paul's birthplace?,Tarsus,Antioch,Derbe,Lystra,1,5
Who was released instead of Jesus?,Barabbas,Barnabas,Bartholomew,Bartimaeus,1,4
Which prophet saw the Lord high and lifted up in the Temple?,Jeremiah,Isaiah,Ezekiel,Daniel,2,5
Which book contains the prayer of Jabez?,1 Chronicles,2 Chronicles,Ezra,Nehemiah,1,6
Which woman judged Israel under a palm tree?,Jael,Deborah,Huldah,Miriam,2,5
Which king was told that the kingdom would be divided after him?,David,Solomon,Rehoboam,Jeroboam,2,6
Which church father wrote Confessions?,Augustine,Jerome,Ambrose,Origen,1,6
Which council defined Christ as one person in two natures?,Nicaea,Ephesus,Chalcedon,Constantinople,3,7
Which prophet called Nineveh the bloody city?,Nahum,Jonah,Obadiah,Malachi,1,6
Which apostle did Paul oppose at Antioch according to Galatians?,Peter,James,John,Barnabas,1,7
Which Old Testament book mentions Darius the Mede?,Daniel,Esther,Ezra,Nehemiah,1,6
Which second-century movement claimed new prophecy through Montanus?,Donatism,Montanism,Marcionism,Gnosticism,2,8
Which companion deserted Paul because he loved the present world?,Demas,Mark,Aristarchus,Erastus,1,7
Which bishop wrote seven letters while traveling to martyrdom in Rome?,Ignatius,Polycarp,Clement,Irenaeus,1,8
