question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which river did Israel cross before entering Jericho?,Euphrates,Jordan,Kishon,Jabbok,2,2
Who was Samuel's father?,Elkanah,Eli,Jesse,Kish,1,2
What was the name of the son born to Ruth and Boaz?,Jesse,Obed,Mahlon,Chilion,2,3
Who cut off the corner of Saul's robe while Saul was in a cave?,Jonathan,Abishai,David,Samuel,3,3
What did the priests blow before the walls of Jericho fell?,Silver flutes,Rams' horns,Bronze cymbals,Golden bells,2,3
What did Rahab tie in her window as a sign for Israel's army?,A blue ribbon,A scarlet cord,A white cloth,A palm branch,2,4
What first sign did Gideon request involving a fleece?,Dew only on the fleece,Fire consuming the fleece,The fleece turning red,The fleece becoming torn,1,4
What name was given to the child born when the ark was captured by the Philistines?,Samuel,Ichabod,Phinehas,Jonathan,2,4
Which priest gave David consecrated bread at Nob?,Abiathar,Ahimelech,Zadok,Jehoiada,2,4
Which son of Saul ate honey despite the king's oath?,Jonathan,Abinadab,Malchishua,Ish-bosheth,1,4
What did Elijah have poured over his sacrifice on Mount Carmel?,Water,Oil,Wine,Milk,1,4
Which judge killed six hundred Philistines with an oxgoad?,Shamgar,Othniel,Tola,Ibzan,1,5
What did David do as the ark entered Jerusalem?,He offered incense,He sounded a trumpet,He danced before the Lord,He read the Law,3,5
How old was Josiah when he became king?,Five,Six,Seven,Eight,4,5
Through which gate did Nehemiah leave for his nighttime inspection of Jerusalem's walls?,Fountain Gate,Sheep Gate,Valley Gate,Fish Gate,3,5
Where did Achan hide the stolen items from Jericho?,In a cave,Under the ground inside his tent,In a grain bin,Beneath a city gate,2,6
To which tribe did the left-handed judge Ehud belong?,Ephraim,Judah,Reuben,Benjamin,4,6
Who was Abigail's husband before she married David?,Uriah,Boaz,Nabal,Abner,3,6
For how many years was the young Joash hidden in the Temple?,Six,Three,Seven,Twelve,1,6
Which priest protected the young Joash from Athaliah?,Hilkiah,Zadok,Jehoiada,Abiathar,3,6
In Jotham's parable which tree was first invited to become king?,Fig tree,Vine,Olive tree,Cedar,3,7
Which two men did Mordecai expose for plotting against Ahasuerus?,Sanballat and Tobiah,Joab and Abishai,Hophni and Phinehas,Bigthan and Teresh,4,7
From which city's well did three mighty men bring water to David?,Hebron,Jerusalem,Gibeon,Bethlehem,4,7
Which son of Saul reigned over Israel while David ruled Judah from Hebron?,Jonathan,Ish-bosheth,Mephibosheth,Abinadab,2,8
