question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who dreamed of a stairway reaching from earth to heaven?,Abraham,Jacob,Joseph,Moses,2,2
Which New Testament book immediately follows the four Gospels?,Romans,Acts,Hebrews,Revelation,2,2
Which judge killed a lion with his bare hands?,Gideon,Samson,Jephthah,Shamgar,2,3
Who was the mother of John Mark?,Mary,Priscilla,Lydia,Salome,1,3
Whose servant was Gehazi?,Elijah,Elisha,Samuel,Naaman,2,3
Who was the chief tabernacle craftsman from the tribe of Judah?,Bezalel,Oholiab,Huram,Uri,1,4
For how many years had Aeneas been bedridden before Peter healed him?,Three,Five,Eight,Twelve,3,4
Which daughter-in-law of Judah gave birth to Perez and Zerah?,Tamar,Rahab,Ruth,Bathsheba,1,4
Who produced the first complete printed English Bible in 1535?,John Wycliffe,William Tyndale,Miles Coverdale,Thomas Cranmer,3,4
Which count sponsored the Moravian renewal at Herrnhut?,August Hermann Francke,Nikolaus von Zinzendorf,Philip Spener,Jan Comenius,2,4
What name is given to the ancient Greek translation of the Hebrew Scriptures?,Targum,Vulgate,Septuagint,Peshitta,3,5
Which monk wrote the Rule that became influential in Western monasticism?,Benedict of Nursia,Columba,Francis of Assisi,Dominic,1,5
Which blind American hymn writer wrote Blessed Assurance?,Frances Havergal,Fanny Crosby,Phoebe Palmer,Anne Steele,2,5
Which prophetess tried to intimidate Nehemiah?,Huldah,Noadiah,Deborah,Anna,2,6
Whom did Paul call his fellow prisoner in the letter to Philemon?,Epaphras,Archippus,Onesimus,Mark,1,6
Which Syriac theologian and hymn writer is known as the Harp of the Holy Spirit?,Ephrem the Syrian,Jacob of Serugh,Narsai,Aphrahat,1,6
Which surviving work by Patrick recounts his calling and mission in Ireland?,Confession,Rule of Benedict,Ecclesiastical History,Cloud of Unknowing,1,6
Which English synod in 664 chose the Roman calculation of Easter?,Council of Hertford,Synod of Whitby,Council of Clovesho,Synod of Chelsea,2,6
Whose sayings form Proverbs chapter 30?,Lemuel,Agur,Ethan,Heman,2,7
Which American Baptist missionary translated the Bible into Burmese?,Hudson Taylor,David Livingstone,Adoniram Judson,Samuel Marsden,3,7
According to Zephaniah 1:1 who was the prophet's father?,Cushi,Gedaliah,Amariah,Hilkiah,1,8
Which second-century apologist wrote A Plea for the Christians?,Tatian,Athenagoras,Theophilus of Antioch,Minucius Felix,2,8
Who led the Lutheran team that compiled the Magdeburg Centuries?,Matthias Flacius,Martin Chemnitz,Johann Gerhard,Andreas Osiander,1,8
Which Anglican theologian wrote Of the Laws of Ecclesiastical Polity?,Lancelot Andrewes,Richard Hooker,Jeremy Taylor,George Herbert,2,8
