question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who was the first woman created by God?,Sarah,Eve,Rebekah,Ruth,2,1
Which planet is known for its beautiful rings?,Earth,Venus,Saturn,Mars,3,1
Who gathered animals into the ark?,Noah,Abraham,Joshua,Elijah,1,1
What is the name of the galaxy we live in?,Andromeda,Milky Way,Whirlpool,Pinwheel,2,2
Who defeated the giant Goliath?,Saul,Jonathan,David,Samuel,3,1
What do astronauts ride to reach space?,Rocket,Bus,Ship,Train,1,1
Who was born in Bethlehem?,Paul,Jesus,Peter,John,2,1
Which planet is the largest in our solar system?,Saturn,Earth,Jupiter,Mars,3,2
Who spent three days inside a great fish?,Jonah,Elijah,Daniel,Ezekiel,1,2
What is the name of NASA's famous space telescope launched in 1990?,Voyager,Hubble,Apollo,Pioneer,2,3
Who was the mother of Samuel?,Mary,Hannah,Esther,Miriam,2,3
What is the closest planet to Earth in size?,Venus,Mars,Mercury,Jupiter,1,3
Who was thrown into a fiery furnace with two other men?,Shadrach,Meshach,Abednego,All of these,4,3
What is the name of the first artificial satellite launched into space?,Sputnik 1,Apollo 8,Voyager 2,Explorer 1,1,4
Who gave Jesus gifts after His birth?,Shepherds,Wise Men,Disciples,Romans,2,2
What planet is farthest from the Sun?,Neptune,Mars,Saturn,Uranus,1,3
Who was the king of Israel after Saul?,David,Solomon,Hezekiah,Josiah,1,3
What does NASA stand for?,National Air and Space Agency,National Aeronautics and Space Administration,North American Space Association,National Astronomy and Science Administration,2,4
Who built the temple in Jerusalem?,David,Samuel,Solomon,Ezra,3,3
What is the name of the first person to walk on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,3,3
Who baptized Jesus?,Peter,John the Baptist,James,Andrew,2,2
What do astronauts use to see faraway objects in space?,Microscope,Telescope,Periscope,Binoculars,2,1
