question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
What item was removed to confirm a property transfer in Ruth?,A cloak,A staff,A sandal or shoe,A signet ring,3,2
What object did Elisha cause to float after it fell into the water?,An iron axe head,A bronze adze head,A copper sickle blade,An iron plowshare,1,2
What replaced Rehoboam's gold shields after Shishak took them?,Wooden shields,Leather shields,Iron shields,Bronze or brass shields,4,3
What did Achsah ask Caleb to give her in addition to her southern land?,A vineyard,Springs of water,An olive grove,A grain field,2,3
What pulled the new cart carrying the ark back from Philistia?,Two milk cows never yoked,Two trained oxen,Four young horses,A team of donkeys,1,3
What was read to the king in Esther when he could not sleep?,Haman's petition,A book of Persian laws,The royal book of chronicles,A report from the provinces,3,3
How were the priestly divisions assigned their duties in 1 Chronicles?,By age,By lot,By tribal census,By royal appointment,2,4
What did Cyrus entrust to Sheshbazzar for the return to Jerusalem?,Royal tax records,The city gate keys,Military supplies,The Temple vessels,4,4
What did Michal place in David's bed to make it appear occupied?,A rolled cloak,A household idol,A bundle of grain,A bronze shield,2,4
Where did Joshua set up twelve stones where the priests had stood?,In the middle of the Jordan,On Mount Ebal,Outside Jericho,At the entrance to Shiloh,1,4
Who sounded the cymbals when David stationed ministers before the ark?,Heman,Obed-edom,Jeduthun,Asaph,4,5
How many chosen attendants did Hegai assign to Esther?,Three,Five,Seven,Twelve,3,5
Where did David tell his humiliated envoys to wait until their beards grew back?,Hebron,Bethlehem,Jericho,Gibeon,3,5
Where was Manasseh taken in shackles before he humbled himself?,Nineveh,Damascus,Susa,Babylon,4,5
What did Jair's thirty sons ride?,Thirty donkeys,Thirty horses,Thirty camels,Thirty chariots,1,6
Which soldiers received the same share of plunder as those who fought?,Those who scouted ahead,Those who stayed with the supplies,Foreign mercenaries,Only wounded soldiers,2,6
Which group did Ezra find missing from his assembly by the Ahava canal?,Royal officials,Judean elders,Skilled artisans,Levites,4,6
Which king received a letter from Elijah warning of severe illness?,Jehoshaphat,Jehoram,Joash,Amaziah,2,6
Which month did the Pur select for Haman's planned attack?,Adar,Nisan,Sivan,Tishri,1,7
From which city did Ahaz copy the altar he installed in Jerusalem?,Samaria,Nineveh,Damascus,Tyre,3,7
Which Temple gate was the focus of Jotham's construction?,The Eastern Gate,The Upper or High Gate,The Fountain Gate,The Valley Gate,2,7
Which city did Joshua receive as his own inheritance?,Timnath-serah,Shiloh,Shechem,Debir,1,7
Which governor questioned the authority for rebuilding the Temple?,Rehum,Sanballat,Tattenai,Tobiah,3,8
Who hid in a well at Bahurim while carrying news to David?,Joab and Abishai,Zadok and Abiathar,Ittai and Hushai,Jonathan and Ahimaaz,4,8
