question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which Greek word meaning fish became an early Christian acrostic?,Ichthys,Logos,Kyrios,Agape,1,2
Which apostle was executed by Herod Agrippa I in Acts 12?,Peter,James son of Zebedee,John,Andrew,2,2
What Jewish feast was underway when the Holy Spirit came in Acts 2?,Passover,Pentecost,Day of Atonement,Tabernacles,2,3
Which apostle baptized the Roman centurion Cornelius?,John,James,Peter,Andrew,3,3
In what year did the First Council of Nicaea meet?,313,325,381,451,2,3
Which city hosted the meeting in Acts 15 about circumcision and Gentile converts?,Antioch,Jerusalem,Caesarea,Rome,2,4
Who gave the concluding proposal at the Jerusalem meeting recorded in Acts 15?,Peter,Paul,James,Barnabas,3,4
Which two rulers reached the agreement commonly called the Edict of Milan?,Constantine and Licinius,Diocletian and Galerius,Trajan and Hadrian,Septimius Severus and Caracalla,1,4
What underground burial complexes are especially associated with early Christians at Rome?,Catacombs,Cloisters,Basilicas,Ziggurats,1,4
Ignatius served as bishop of which city?,Ephesus,Antioch,Smyrna,Edessa,2,5
What does the title Didache mean?,Covenant,Teaching,Martyrdom,Wisdom,2,5
Perpetua and Felicity were martyred near which North African city?,Alexandria,Carthage,Rome,Antioch,2,5
Which Roman governor wrote to Trajan asking how Christians in Bithynia should be handled?,Pliny the Younger,Tacitus,Suetonius,Galen,1,6
Papias traditionally served as bishop of which city in Asia Minor?,Smyrna,Hierapolis,Laodicea,Pergamum,2,6
What was Tatian's harmony of the four Gospels called?,Diatessaron,Hexapla,Stromata,Didache,1,6
Under Emperor Decius what documents certified that a person had performed the required sacrifice?,Libelli,Diptychs,Canons,Lectionaries,1,6
Which emperor initiated the Great Persecution in 303?,Nero,Decius,Diocletian,Valerian,3,6
Which early canon list survives in a manuscript discovered by Ludovico Muratori?,Didache,Muratorian Fragment,Apostolic Tradition,Diatessaron,2,7
Which Alexandrian teacher wrote the Stromata?,Clement of Alexandria,Origen,Athanasius,Didymus the Blind,1,7
Which bishop of Carthage opposed Novatian and supported restoring the penitent lapsed?,Cyprian,Tertullian,Augustine,Optatus,1,7
Which controversy centered on sacraments administered by clergy who had surrendered Scriptures during persecution?,Donatist controversy,Quartodeciman controversy,Arian controversy,Monothelite controversy,1,7
Which early apologist presented a defense to Hadrian that survives only in a fragment quoted by Eusebius?,Quadratus,Aristides,Justin Martyr,Melito of Sardis,1,8
Which bishop of Ephesus defended Quartodeciman observance against Victor of Rome?,Polycrates,Polycarp,Papias,Hegesippus,1,8
Canon 6 of Nicaea confirmed the ancient jurisdiction of which see over Egypt Libya and Pentapolis?,Alexandria,Antioch,Jerusalem,Caesarea,1,8
