question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who was Timothy's mother?,Lois,Priscilla,Eunice,Lydia,3,6
Who was Timothy's grandmother?,Lois,Eunice,Lydia,Phoebe,1,5
Which New Testament book is addressed to Theophilus?,Luke,Acts,Both Luke and Acts,Romans,3,6
Who was the Roman centurion converted in Acts 10?,Cornelius,Julius,Claudius Lysias,Longinus,1,4
Which judge defeated Midian with 300 men?,Samson,Gideon,Ehud,Barak,2,4
Which judge made a rash vow concerning his daughter?,Gideon,Jephthah,Samson,Ehud,2,6
Who killed Sisera?,Jael,Deborah,Ruth,Abigail,1,6
Which judge was left-handed and killed Eglon?,Ehud,Othniel,Shamgar,Tola,1,7
Who was the high priest when Samuel was a child?,Abiathar,Eli,Zadok,Phinehas,2,5
Who was David's closest friend among Saul's family?,Jonathan,Abner,Ish-bosheth,Joab,1,3
Who was the father of King David?,Obed,Jesse,Boaz,Samuel,2,3
Which tribe supplied Israel's first king?,Judah,Benjamin,Levi,Dan,2,6
Which king was struck with leprosy for unlawful Temple actions?,Uzziah,Amaziah,Ahaz,Jehoram,1,7
Which king humbled himself after being driven from men?,Ahab,Nebuchadnezzar,Belshazzar,Jehoiakim,2,6
Which king issued the decree allowing Jews to return from exile?,Cyrus,Darius,Xerxes,Artaxerxes,1,5
Who was Jacob's oldest son?,Joseph,Judah,Reuben,Levi,3,5
Who was Jacob's only daughter named in Genesis?,Dinah,Miriam,Tamar,Leah,1,5
Who was Abraham's nephew?,Esau,Lot,Laban,Ishmael,2,3
Who was Abraham's first son?,Isaac,Jacob,Ishmael,Esau,3,4
What was the name of Isaac's wife?,Rachel,Leah,Sarah,Rebekah,4,3
Who was the father of Methuselah?,Enoch,Jared,Lamech,Kenan,1,7
Who was the king of Salem who blessed Abraham?,Melchizedek,Abimelech,Og,Sihon,1,5
Which book contains the Song of Moses after crossing the Red Sea?,Exodus,Numbers,Deuteronomy,Joshua,1,4
