question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
What happened to Saul's sight on the road to Damascus?,It became sharper,He saw a vision continuously,He became blind,He saw only at night,3,2
Which apostle healed a lame man at the Beautiful Gate alongside John?,Paul,Peter,Philip,Andrew,2,2
Which apostle saw a vision of a sheet filled with animals?,Paul,Peter,John,James,2,3
Who was imprisoned with Paul in Philippi?,Barnabas,Silas,Timothy,Luke,2,3
Who sold a field and laid the money at the apostles' feet?,Barnabas,Philip,Stephen,Silas,1,3
From which city did Lydia come?,Thyatira,Philippi,Troas,Corinth,1,4
Which governor became alarmed when Paul spoke about righteousness and coming judgment?,Felix,Festus,Gallio,Sergius Paulus,1,4
What does Romans call the wages of sin?,Slavery,Death,Shame,Exile,2,4
Which letter compares loveless speech to a noisy gong or clanging cymbal?,Romans,Galatians,1 Corinthians,Philippians,3,4
What opened the prison doors while Paul and Silas were singing?,A guard,A fire,An earthquake,A thunderstorm,3,4
What did the Bereans examine daily to evaluate Paul's message?,Roman law,Local traditions,Temple records,The Scriptures,4,5
At whose house did Peter stay in Joppa?,Cornelius,Philip,Simon the tanner,Jason,3,5
Who asked Paul and Silas what he must do to be saved?,A magistrate,A merchant,The Philippian jailer,A synagogue ruler,3,5
In which city were disciples first called Christians?,Antioch,Jerusalem,Ephesus,Caesarea,1,6
On which island did Paul leave Titus to appoint elders?,Cyprus,Malta,Sicily,Crete,4,6
Which church was associated with Phoebe in Romans?,Laodicea,Cenchreae,Philippi,Colossae,2,6
About how many believers saw the risen Christ at one time according to 1 Corinthians?,One hundred,Three hundred,More than five hundred,One thousand,3,6
How did Paul escape from Damascus according to 2 Corinthians?,Through a tunnel,Disguised as a soldier,On a merchant ship,In a basket through a window,4,6
What other name did the magician Bar-Jesus use?,Simon,Elymas,Sceva,Alexander,2,7
Which two women did Paul urge to agree in the Lord in Philippians?,Euodia and Syntyche,Tryphena and Tryphosa,Priscilla and Lydia,Lois and Eunice,1,7
Who identified himself as the writer who took down the letter to the Romans?,Gaius,Erastus,Tertius,Quartus,3,8
Which Ephesian official quieted the crowd after the silversmiths' protest?,The proconsul,The town clerk,The chief priest,The jailer,2,8
Who often refreshed Paul and was not ashamed of his chains?,Onesiphorus,Demas,Epaphroditus,Philemon,1,8
With which neighboring church were the Colossians instructed to exchange letters?,Ephesus,Laodicea,Hierapolis,Smyrna,2,8
