question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who found baby Moses in the Nile?,Pharaoh's daughter,Miriam,Jochebed,Zipporah,1,2
What food did God provide Israel in the wilderness each morning?,Quail,Manna,Figs,Lentils,2,2
Who was the strongest judge of Israel?,Gideon,Samson,Jephthah,Ehud,2,3
Which mountain is associated with the Ten Commandments?,Carmel,Sinai,Zion,Hermon,2,3
Who climbed a sycamore tree to see Jesus?,Bartimaeus,Zacchaeus,Nicodemus,Jairus,2,3
Which prophet called down fire on Mount Carmel?,Elijah,Elisha,Isaiah,Amos,1,4
Who was the first person baptized by Philip in Acts 8?,Cornelius,Ethiopian eunuch,Lydia,Apollos,2,4
Which woman was a seller of purple cloth?,Phoebe,Lydia,Priscilla,Tabitha,2,4
Which king dreamed of a statue with feet of iron and clay?,Cyrus,Darius,Nebuchadnezzar,Belshazzar,3,5
Who replaced Judas among the twelve apostles?,Matthias,Barnabas,Stephen,Silas,1,4
Which book contains the armor of God passage?,Romans,Ephesians,Philippians,Colossians,2,4
Who was Moses' father-in-law?,Jethro,Laban,Nahor,Reuel,1,4
Which prophet was told to name his son Maher-shalal-hash-baz?,Jeremiah,Isaiah,Ezekiel,Hosea,2,6
Which city was destroyed along with Sodom?,Jericho,Gomorrah,Ai,Hazor,2,5
Which apostle raised Tabitha from the dead?,Paul,Peter,John,Philip,2,5
Which Roman centurion sent for Peter in Acts 10?,Cornelius,Julius,Longinus,Claudius Lysias,1,5
Which early Christian teacher was known as golden mouthed?,John Chrysostom,Justin Martyr,Gregory Nazianzen,Polycarp,1,6
Who wrote the Ecclesiastical History of the early church?,Eusebius,Tertullian,Origen,Cyprian,1,6
Which king of Judah was struck with leprosy after burning incense?,Uzziah,Asa,Rehoboam,Joash,1,6
Which prophet pronounced judgment against Edom in the shortest Old Testament book?,Nahum,Obadiah,Habakkuk,Zephaniah,2,7
Which council produced a creed expanded against Macedonianism?,Nicaea,Constantinople,Orange,Trent,2,7
Which companion did Paul leave sick at Miletus?,Trophimus,Epaphroditus,Aristarchus,Demas,1,7
Which sect denied the resurrection according to the Gospels?,Pharisees,Sadducees,Essenes,Zealots,2,6
Which theologian argued against Pelagius in the early fifth century?,Jerome,Augustine,Ambrose,Basil,2,8
