question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who founded the Salvation Army with Catherine Booth?,William Booth,John Wesley,George Whitefield,Charles Spurgeon,1,2
Who was the principal founder of the Society of Jesus?,Francis Xavier,Ignatius of Loyola,Dominic,Francis of Assisi,2,2
Which emperor issued the Edict of Thessalonica jointly with Gratian and Valentinian II in 380?,Constantine I,Justinian I,Theodosius I,Julian,3,3
What year conventionally marks the Great Schism between Rome and Constantinople?,800,1054,1215,1453,2,3
Who led the Methodist movement alongside his brother Charles?,George Whitefield,John Wesley,Jonathan Edwards,John Knox,2,3
Who baptized Augustine in Milan?,Jerome,Ambrose,Gregory of Nyssa,John Chrysostom,2,4
Who wrote the Summa Theologiae?,Bonaventure,Thomas Aquinas,Duns Scotus,Peter Lombard,2,4
Which council clarified Roman Catholic doctrine in response to the Protestant Reformation?,Trent,Constance,First Vatican,Orange,1,4
At which imperial assembly did Martin Luther refuse to recant in 1521?,Council of Constance,Colloquy of Marburg,Diet of Worms,Diet of Speyer,3,4
Which council condemned Monothelitism in 680-681?,Second Constantinople,Third Constantinople,Second Nicaea,Fourth Lateran,2,4
Which trio is known as the Cappadocian Fathers?,Basil of Caesarea; Gregory of Nazianzus; Gregory of Nyssa,Ambrose; Jerome; Augustine,John Chrysostom; Cyril; Athanasius,Anselm; Abelard; Bernard,1,5
What issue stood at the center of Byzantine Iconoclasm?,Veneration of religious images,Date of Easter,Clerical marriage,Use of leavened bread,1,5
Who developed a satisfaction account of the atonement in Cur Deus Homo?,Anselm of Canterbury,Peter Abelard,Thomas Aquinas,Bernard of Clairvaux,1,5
Which medieval abbess wrote the visionary work Scivias?,Clare of Assisi,Julian of Norwich,Hildegard of Bingen,Mechtild of Magdeburg,3,5
Which ecumenical council convened in 553 under Justinian I?,Council of Ephesus,Second Council of Constantinople,Third Council of Constantinople,Second Council of Nicaea,2,6
Which theologian defended two wills in Christ and suffered the loss of his tongue and right hand?,Maximus the Confessor,Leontius of Byzantium,John of Damascus,Theodore the Studite,1,6
Which Burgundian abbey became the center of a major tenth-century monastic reform?,Citeaux,Monte Cassino,Cluny,St. Gall,3,6
Which council in 1215 defined transubstantiation and required annual confession?,Fourth Lateran,Second Lyons,Council of Vienne,Council of Constance,1,6
At which council was Jan Hus condemned in 1415?,Basel,Ferrara-Florence,Constance,Fifth Lateran,3,6
At which council did Reccared publicly profess Catholic Christianity in 589?,Third Council of Toledo,Second Council of Orange,Council of Vienne,Synod of Whitby,1,7
Which ninth-century patriarch was central to the dispute called the Photian Schism?,Photius,Michael Cerularius,John Bekkos,Nilus of Constantinople,1,7
Who wrote the Periphyseon at the Carolingian court?,Alcuin,John Scotus Eriugena,Hrabanus Maurus,Boethius,2,7
Who presided over the Ephesian gathering of 449 later called the Robber Council?,Flavian of Constantinople,Dioscorus of Alexandria,Cyril of Alexandria,Juvenal of Jerusalem,2,8
Which council suppressed the Knights Templar in 1312?,Second Lyons,Vienne,Pisa,Constance,2,8
