question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
What was the name of Jesus' mother?,Mary,Elizabeth,Martha,Joanna,1,2
In which town was Jesus born?,Nazareth,Capernaum,Bethlehem,Bethany,3,2
Which Gospel records the visit of the Magi?,Matthew,Mark,Luke,John,1,3
At Cana what did Jesus turn into wine?,Oil,Milk,Grape juice,Water,4,3
How many apostles did Jesus appoint?,Twelve,Seven,Ten,Seventy,1,3
Which disciple betrayed Jesus?,Thomas,Matthew,Judas Iscariot,Philip,3,4
What collection of blessings opens the Sermon on the Mount?,The woes,The Beatitudes,The commandments,The parables,2,4
In which town did Jesus raise a widow's only son?,Cana,Nain,Bethany,Emmaus,2,4
Which blind beggar called to Jesus near Jericho?,Bartimaeus,Jairus,Malchus,Timaeus,1,4
How many small coins did the poor widow put into the Temple treasury?,One,Two,Three,Seven,2,4
At whose well did Jesus speak with a Samaritan woman?,Abraham's well,Jacob's well,Isaac's well,David's well,2,5
Which disciple did visiting Greeks approach because they wanted to see Jesus?,Andrew,Philip,Thomas,Matthew,2,5
How old was Jairus's daughter when Jesus raised her?,Twelve,Seven,Ten,Fourteen,1,5
Which three disciples witnessed the Transfiguration?,Andrew Philip and Thomas,Peter Andrew and John,Peter James and John,James John and Matthew,3,5
From which tribe was the prophetess Anna?,Judah,Levi,Benjamin,Asher,4,6
How much did the servant owe the king in the parable of the unforgiving servant?,One hundred denarii,Ten thousand talents,Thirty pieces of silver,Five hundred denarii,2,6
What Aramaic command did Jesus speak when raising Jairus's daughter?,Ephphatha,Talitha koum,Eloi Eloi,Lazarus come out,2,6
Which disciple did Jesus say he had seen under a fig tree?,Philip,Andrew,Nathanael,Thomas,3,6
On which side of the altar of incense did an angel appear to Zechariah?,North side,Left side,Right side,Behind it,3,6
Which traveler to Emmaus is named in Luke?,Cleopas,Clopas,Simeon,Joseph,1,7
What did the young man leave behind when he fled at Jesus' arrest in Mark?,His sandals,His cloak,A linen garment,His staff,3,7
Where did Peter find the coin used for the Temple tax?,Inside a loaf of bread,In a fish's mouth,Under a stone,In the Temple treasury,2,7
What was the name of Joanna's husband in Luke?,Manaen,Theophilus,Herod,Chuza,4,8
Who was tetrarch of Abilene when John the Baptist began his ministry?,Philip,Lysanias,Herod Antipas,Archelaus,2,8
