question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
In Jonah what attacked the plant that had shaded the prophet?,A locust,A raven,A worm,A wild goat,3,2
Haggai pictures a wage earner putting earnings into what?,A bag with holes,A sealed jar,A locked chest,A bronze bowl,1,2
In Obadiah which bird pictures Edom nesting high among the stars?,A raven,A stork,A dove,An eagle,4,3
Which tribe does Hosea compare to a cake not turned over?,Judah,Ephraim,Benjamin,Levi,2,3
To which official does Malachi say a defective animal should be presented?,The high priest,The army commander,The governor,The tax collector,3,3
Whose death was Ezekiel commanded not to mourn?,His mother,His father,His eldest son,His wife,4,3
Where does Joel say the nations will be gathered for judgment?,The Valley of Jehoshaphat,The Valley of Achor,The Valley of Hinnom,The Valley of Siddim,1,4
Who broke the yoke from Jeremiah's neck in the Temple?,Pashhur,Shemaiah,Hananiah,Uriah,3,4
Who served as high priest when Haggai's first message came?,Eliashib,Joshua,Hilkiah,Zadok,2,4
Where was the rider on the red horse in Zechariah's first vision?,Beside cedars on a ridge,Under olives on a hill,Near reeds by a river,Among myrtle trees,4,4
Which son accompanied Isaiah when he went to meet King Ahaz?,Maher-shalal-hash-baz,Shear-jashub,Lo-ammi,Jezreel,2,5
Amos dates his visions how long before the earthquake?,Two years,One year,Three years,Seven years,1,5
In Haggai whom does the LORD promise to make like a signet ring?,Sheshbazzar,Nehemiah,Ezra,Zerubbabel,4,5
With what does the LORD say he will search Jerusalem in Zephaniah?,Trumpets,Lamps,Swords,Plumb lines,2,5
What fuel was Ezekiel permitted to use instead of human waste?,Dry reeds,Olive wood,Cattle dung,Charcoal,3,6
Which Egyptian city does Nahum use as a warning example for Nineveh?,Thebes (No-amon),Memphis,Heliopolis,Sais,1,6
What was placed on high priest Joshua's head after his filthy garments were removed?,A jeweled ephod,A clean turban,A golden crown,A linen veil,2,6
What record was written for those who feared the LORD in Malachi?,A priestly genealogy,A covenant tablet,A scroll of lamentation,A book of remembrance,4,6
Which royal steward's self-made tomb is rebuked in Isaiah 22?,Shebna,Eliakim,Joah,Hilkiah,1,7
Which regions does Micah name as ancient grazing grounds for God's flock?,Sharon and Carmel,Moab and Edom,Bashan and Gilead,The Negev and Arabah,3,7
How many chariots emerged between the two mountains in Zechariah's vision?,Two,Seven,Three,Four,4,7
In Zechariah 7 the delegation asked about mourning and fasting in which month?,The fifth month,The fourth month,The seventh month,The tenth month,1,7
Whom did Jeremiah instruct to read his scroll in Babylon and throw it into the Euphrates?,Baruch,Seraiah,Gemariah,Jehudi,2,8
From which places does Habakkuk 3 picture God and the Holy One coming?,Edom and Mount Hor,Midian and Mount Nebo,Teman and Mount Paran,Cush and the Nile,3,8
