question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who led the mission at the center of the 1906 Azusa Street Revival?,Charles Fox Parham,William J. Seymour,William H. Durham,Aimee Semple McPherson,2,2
Which London draper founded the YMCA in 1844?,William Booth,Anthony Ashley-Cooper,Samuel Morley,George Williams,4,2
"Which movement experienced the Great Disappointment on October 22, 1844?",Millerites,Shakers,Campbellites,Perfectionists,1,3
Whose journey to buy a Welsh Bible helped inspire the British and Foreign Bible Society?,Ann Griffiths,Hannah More,Mary Jones,Catherine Booth,3,3
Which former captive became the first African Anglican bishop in 1864?,Alexander Crummell,Edward Blyden,James Johnson,Samuel Ajayi Crowther,4,3
Who preached New Zealand's first recorded Christian sermon on Christmas Day 1814?,Henry Williams,Samuel Marsden,John Williams,George Augustus Selwyn,2,3
Which 1801 Kentucky camp meeting became a landmark of the Second Great Awakening?,Red River Revival,Gasper River Revival,Cane Ridge Revival,Haystack Prayer Meeting,3,4
Into which Indigenous language was John Eliot's 1663 Bible translated?,Massachusett,Mohawk,Cherokee,Choctaw,1,4
What is the classical liturgical language of the Ethiopian Orthodox Tewahedo Church?,Coptic,Ge'ez,Amharic,Syriac,2,4
In which Japanese city were the Twenty-Six Martyrs crucified in 1597?,Kyoto,Osaka,Edo,Nagasaki,4,4
Which revivalist made seven preaching visits to Britain's American colonies?,George Whitefield,Gilbert Tennent,James Davenport,Theodore Frelinghuysen,1,5
Which printer formed the Serampore Trio with William Carey and Joshua Marshman?,Felix Carey,Henry Martyn,William Ward,Alexander Duff,3,5
Las Casas served as bishop of which New Spain diocese?,Yucatan,Chiapas,Puebla,Michoacan,2,5
Which city hosted the 1910 World Missionary Conference?,Edinburgh,Stockholm,Amsterdam,Lausanne,1,5
Which weekly gathering in Phoebe Palmer's home promoted Holiness teaching?,Haystack Prayer Meeting,Fulton Street Prayer Meeting,Oxford Holy Club,The Tuesday Meeting,4,6
Who co-translated the Bible into Chinese with Robert Morrison?,Joshua Marshman,Karl Gutzlaff,William Milne,Walter Medhurst,3,6
In which colony did Simon Kimbangu begin his healing and preaching ministry in 1921?,Belgian Congo,Portuguese Angola,French Equatorial Africa,British Gold Coast,1,6
Which Indian Christian reformer founded Mukti Mission near Pune?,Ramabai Ranade,Pandita Ramabai,Cornelia Sorabji,Krupabai Satthianadhan,2,6
"Which denomination traces its founding to a 1908 union at Pilot Point, Texas?",Free Methodist Church,Wesleyan Methodist Church,Pilgrim Holiness Church,Church of the Nazarene,4,7
Into which language did Bartholomaus Ziegenbalg translate the New Testament at Tranquebar?,Bengali,Telugu,Tamil,Malayalam,3,7
Which Xhosa minister translated the first part of Bunyan's The Pilgrim's Progress?,John Tengo Jabavu,Tiyo Soga,John Knox Bokwe,Isaac Wauchope,2,7
What Japanese Christian movement did Uchimura Kanzo lead outside formal denominations?,Kyodan,Japan Evangelistic Band,Holiness Church of Japan,Mukyokai,4,7
Which Italian Jesuit adopted a sannyasi's saffron dress and vegetarian diet in Madurai?,Francis Xavier,John de Britto,Roberto de Nobili,Alexandre de Rhodes,3,8
Which Indigenous people were the main inhabitants of Jesuit reductions in colonial Paraguay?,Guarani,Quechua,Mapuche,Tupi,1,8
