question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which prophet saw a valley of dry bones?,Isaiah,Ezekiel,Jeremiah,Joel,2,5
Who accompanied Paul and Silas out of Philippi after the jail miracle?,Luke,Timothy,Lydia,None of these,4,7
Which book records the rebuilding of the Temple after exile?,Nehemiah,Ezra,Esther,Haggai,2,5
Who anointed Saul as king?,Nathan,Eli,Samuel,Gad,3,4
Which church father was bishop of Hippo?,Jerome,Augustine,Athanasius,Clement,2,6
Who was Boaz's wife?,Ruth,Naomi,Abigail,Deborah,1,3
Which king sought wisdom above riches?,David,Hezekiah,Solomon,Asa,3,2
Who was the mother of John the Baptist?,Anna,Elizabeth,Martha,Salome,2,3
Which apostle was a tax collector?,Matthew,Philip,Andrew,Thomas,1,3
Who taught Apollos more accurately?,Peter and John,Paul and Silas,Priscilla and Aquila,Barnabas and Mark,3,6
Which prophet challenged Baal's prophets on Mount Carmel?,Elijah,Elisha,Micaiah,Nathan,1,4
What was the name of Isaac's wife?,Rachel,Sarah,Rebekah,Leah,3,3
Which church father wrote On the Incarnation?,Athanasius,Basil,Origen,Irenaeus,1,7
Who carried Jesus' cross?,Joseph of Arimathea,Simon of Cyrene,Nicodemus,Bartimaeus,2,4
Which king was struck with leprosy for entering the Temple improperly?,Uzziah,Ahaz,Amaziah,Jehoram,1,7
Who was the high priest when Samuel was a child?,Abiathar,Eli,Zadok,Phinehas,2,5
Which prophet foretold the Messiah's birth in Bethlehem?,Micah,Nahum,Habakkuk,Joel,1,7
Who restored Saul's sight after Damascus?,Barnabas,Ananias,Philip,Silas,2,6
Which church father was martyred in Smyrna?,Polycarp,Clement,Origen,Tertullian,1,7
Who hid the spies in Jericho?,Rahab,Jael,Ruth,Deborah,1,4
Which apostle preached to the Ethiopian eunuch?,Philip,Peter,Paul,John,1,5
Who was Jacob's oldest son?,Joseph,Judah,Reuben,Levi,3,5
