question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who was the younger brother of Esau?,Jacob,Joseph,Levi,Judah,1,2
Which city was Jesus raised in?,Bethlehem,Nazareth,Capernaum,Jerusalem,2,2
Who became queen after Vashti was removed?,Esther,Ruth,Deborah,Abigail,1,3
Which disciple was a fisherman and brother of Peter?,Andrew,Philip,Thomas,Matthew,1,3
What instrument did David play for Saul?,Flute,Harp,Trumpet,Lyre,4,3
Which prophet was taken up in a whirlwind?,Elijah,Elisha,Isaiah,Ezekiel,1,4
Who wrote a letter to the seven churches in Revelation?,Peter,Paul,John,Jude,3,4
Which priest found the Book of the Law under Josiah?,Hilkiah,Abiathar,Zadok,Eli,1,8
Which woman drove a tent peg through Sisera?,Deborah,Jael,Huldah,Abigail,2,5
Which apostle was known as the son of encouragement?,Barnabas,Peter,John,James,1,4
Which king of Israel built Samaria?,Omri,Ahab,Jehu,Jeroboam,1,6
Which New Testament book contains the hall of faith?,Romans,Hebrews,James,1 Peter,2,4
Which prophet ministered during the days of Uzziah Jotham Ahaz and Hezekiah?,Isaiah,Jeremiah,Ezekiel,Haggai,1,8
Who was the scribe sent by Artaxerxes to teach the Law?,Ezra,Nehemiah,Zerubbabel,Mordecai,1,5
Which book includes the phrase vanity of vanities?,Job,Proverbs,Ecclesiastes,Song of Songs,3,5
Which apostle met Jesus on the road to Damascus?,Peter,Paul,John,James,2,4
Which church father is associated with the rule of faith against Gnosticism?,Irenaeus,Origen,Jerome,Gregory the Great,1,6
Which prophet's book ends by mentioning a curse on the land?,Zechariah,Malachi,Haggai,Joel,2,6
Which emperor called the Council of Nicaea?,Theodosius,Constantine,Diocletian,Julian,2,6
Which island was John on when he received Revelation?,Cyprus,Crete,Patmos,Malta,3,7
Which term means of the same substance in the Nicene debate?,Homoousios,Homoiousios,Kenosis,Parousia,1,8
Which Old Testament book is set during the reign of Ahasuerus?,Esther,Daniel,Ezra,Haggai,1,6
Which prophet denounced the cows of Bashan?,Amos,Hosea,Micah,Zephaniah,1,7
Which early writer was known for Against Marcion?,Tertullian,Justin Martyr,Clement of Alexandria,Eusebius,1,8
