question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which plague was the first plague in Egypt?,Frogs,Darkness,Water turned to blood,Hail,3,2
What river was Naaman told to wash in?,Jordan,Nile,Euphrates,Tigris,1,5
Which prophet rebuked Amaziah the priest of Bethel?,Hosea,Amos,Micah,Joel,2,7
Which prophet was instructed to buy a linen belt and hide it near the Euphrates?,Isaiah,Jeremiah,Ezekiel,Hosea,2,8
Which prophet spoke of the suffering servant?,Isaiah,Jeremiah,Hosea,Zephaniah,1,6
"Who said, 'Here am I; send me'?",Jeremiah,Ezekiel,Isaiah,Amos,3,4
Which prophet was taken captive in the second deportation to Babylon?,Daniel,Ezekiel,Jeremiah,Baruch,2,6
Who served as cupbearer to Artaxerxes?,Ezra,Nehemiah,Mordecai,Zerubbabel,2,6
Who led the first return from exile under Cyrus?,Ezra,Nehemiah,Zerubbabel,Mordecai,3,7
Who was the father of John Mark?,Barnabas,Not named in Scripture,Peter,Aristarchus,2,8
Who accompanied Barnabas to Cyprus after separating from Paul?,John Mark,Silas,Timothy,Titus,1,5
Who accompanied Paul on his second missionary journey after the dispute with Barnabas?,Barnabas,Silas,Mark,Luke,2,5
Who raised Eutychus after he fell from a window?,Peter,John,Paul,Barnabas,3,6
Which apostle brought Nathanael to Jesus?,Andrew,Philip,Peter,James,2,7
Which disciple cut off the servant's ear?,John,Thomas,Peter,Andrew,3,4
What was the servant's name whose ear Peter cut off?,Malchus,Crispus,Trophimus,Ananias,1,7
Which Gospel was written by a physician?,Matthew,Mark,Luke,John,3,4
What was Lydia's trade?,Tentmaker,Seller of purple goods,Physician,Fisherwoman,2,5
Which couple lied about the sale price of their land in Acts?,Aquila and Priscilla,Ananias and Sapphira,Zechariah and Elizabeth,Philemon and Apphia,2,5
Which man wanted to buy the power to give the Holy Spirit?,Simon Magus,Elymas,Bar-Jesus,Demetrius,1,7
Which silversmith stirred up opposition to Paul in Ephesus?,Alexander,Demetrius,Tertullus,Sosthenes,2,7
Which ruler heard Paul's defense with Bernice?,Felix,Festus,Agrippa II,Gallio,3,7
Which proconsul dismissed charges against Paul in Corinth?,Gallio,Felix,Festus,Pilate,1,7
