question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who led Israel into Canaan after Moses died?,Aaron,Joshua,Caleb,Eleazar,2,2
Which city did Israel march around before its walls fell?,Ai,Jericho,Hebron,Bethel,2,2
Who was the mother of Samuel?,Hannah,Miriam,Deborah,Elizabeth,1,3
Which Gospel begins with 'In the beginning was the Word'?,Matthew,Mark,Luke,John,4,3
Who interpreted Pharaoh's dreams in Egypt?,Moses,Daniel,Joseph,Aaron,3,2
Which king built the first Temple in Jerusalem?,David,Solomon,Hezekiah,Josiah,2,2
Who was swallowed by a great fish?,Jonah,Nahum,Amos,Joel,1,2
Which apostle was a tax collector before following Jesus?,Matthew,Andrew,Philip,Thomas,1,3
Who denied Jesus three times?,John,Peter,James,Andrew,2,2
Which book comes immediately after Deuteronomy?,Judges,Joshua,Ruth,1 Samuel,2,3
Who was Abraham's wife?,Rachel,Sarah,Rebekah,Leah,2,2
Which prophet confronted David after his sin with Bathsheba?,Nathan,Gad,Samuel,Elijah,1,4
Who was the first king of Israel?,David,Saul,Solomon,Samuel,2,3
What was the name of Moses' brother?,Aaron,Joshua,Caleb,Hur,1,2
Which disciple doubted until he saw the risen Jesus?,Thomas,Philip,Andrew,Matthew,1,2
Who was thrown into the lions' den?,Jeremiah,Daniel,Ezekiel,Amos,2,2
Which woman hid the Israelite spies in Jericho?,Rahab,Jael,Ruth,Deborah,1,4
Who was Boaz's wife?,Ruth,Naomi,Abigail,Deborah,1,3
Which king asked God for wisdom?,Saul,David,Solomon,Asa,3,2
Who baptized Jesus?,Peter,John the Baptist,Andrew,James,2,2
Which apostle preached at Pentecost?,Paul,Peter,John,James,2,3
Who was the father of John the Baptist?,Zechariah,Simeon,Joachim,Annas,1,3
Who was the mother of John the Baptist?,Anna,Elizabeth,Martha,Salome,2,3
