question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which book comes immediately after Psalms?,Job,Proverbs,Ecclesiastes,Isaiah,2,2
Which psalm begins with The Lord is my shepherd?,Psalm 1,Psalm 19,Psalm 23,Psalm 51,3,2
Which wisdom book tells of a righteous man tested through severe suffering?,Psalms,Proverbs,Job,Ecclesiastes,3,3
In the standard Christian Old Testament ordering which book comes immediately after Proverbs?,Psalms,Ecclesiastes,Song of Songs,Isaiah,2,3
Which prophet described himself as a shepherd from Tekoa?,Amos,Micah,Joel,Hosea,1,3
How many friends initially came together to comfort Job?,Two,Three,Four,Seven,2,4
Which book says that the fear of the Lord is the beginning of knowledge?,Job,Ecclesiastes,Song of Songs,Proverbs,4,4
What touched Isaiah's lips in his Temple vision?,A burning coal,A priestly staff,A scroll,A drop of oil,1,4
How many of Daniel's companions were thrown into the fiery furnace?,Two,Four,Three,Seven,3,4
Which book says there is a time for every purpose under heaven?,Proverbs,Ecclesiastes,Job,Psalms,2,5
Which prophet saw an almond branch in his first recorded vision?,Jeremiah,Isaiah,Ezekiel,Zechariah,1,5
Which crop did Amos say he tended?,Sycamore figs,Barley,Grapes,Olives,1,5
How many sections based on Hebrew letters structure Psalm 119?,Twelve,Eighteen,Twenty-two,Twenty-four,3,6
For how many years did Isaiah go barefoot as a sign?,One,Three,Seven,Forty,2,6
Which scribe wrote Jeremiah's prophecies on a scroll?,Ezra,Gemariah,Seraiah,Baruch,4,6
Which king cut and burned Jeremiah's scroll as it was read?,Zedekiah,Josiah,Jehoiakim,Jehoahaz,3,6
What were the dimensions of Zechariah's flying scroll?,Ten by ten cubits,Thirty by fifteen cubits,Twenty by ten cubits,Forty by twenty cubits,3,6
What was the name of Job's first daughter born after his restoration?,Keziah,Jemimah,Keren-happuch,Dinah,2,7
Which psalm is called a prayer of Moses in its heading?,Psalm 72,Psalm 89,Psalm 91,Psalm 90,4,7
What object did Ezekiel use to portray the coming siege of Jerusalem?,A clay lamp,A brick,A bronze shield,A linen belt,2,7
Who was governor of Judah during Haggai's ministry?,Nehemiah,Sheshbazzar,Zerubbabel,Gedaliah,3,7
Which prophet is identified as the son of Buzi?,Jeremiah,Ezekiel,Daniel,Zechariah,2,8
Which Ezrahite is named in the heading of Psalm 89?,Ethan,Heman,Asaph,Korah,1,8
To what land did the women in Zechariah's vision carry the basket?,Egypt,Shinar,Edom,Philistia,2,8
