question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which creed begins with 'I believe in God the Father Almighty'?,Apostles' Creed,Athanasian Creed,Chalcedonian Definition,Belgic Confession,1,4
"Which creed is especially associated with detailed Trinitarian language and the phrase 'not three Gods, but one God'?",Apostles' Creed,Athanasian Creed,Nicene Creed,Te Deum,2,8
Which Reformer posted the Ninety-Five Theses?,John Calvin,Martin Luther,Ulrich Zwingli,John Knox,2,4
Which Reformer is strongly associated with Geneva?,Martin Luther,John Calvin,Thomas Cranmer,Menno Simons,2,5
Which English reformer helped shape the Book of Common Prayer?,Thomas Cranmer,John Wycliffe,William Tyndale,Hugh Latimer,1,6
Who translated much of the Bible into English before being executed in 1536?,John Wycliffe,William Tyndale,Miles Coverdale,John Rogers,2,6
Which missionary is known for work in Burma and an English-Burmese dictionary?,William Carey,Adoniram Judson,Hudson Taylor,David Livingstone,2,7
Which missionary is often called the father of modern missions?,William Carey,Adoniram Judson,Hudson Taylor,Jim Elliot,1,6
Which missionary founded the China Inland Mission?,William Carey,Hudson Taylor,David Brainerd,Robert Morrison,2,7
Which evangelist preached the sermon 'Sinners in the Hands of an Angry God'?,George Whitefield,Jonathan Edwards,John Wesley,Charles Finney,2,6
Which hymn writer wrote 'And Can It Be'?,Isaac Watts,Charles Wesley,John Newton,Fanny Crosby,2,6
Which hymn writer wrote 'Amazing Grace'?,Isaac Watts,Charles Wesley,John Newton,Fanny Crosby,3,4
Which theologian wrote Institutes of the Christian Religion?,Martin Luther,John Calvin,John Owen,Jonathan Edwards,2,6
Which confession is associated with the English Reformed tradition and was completed in 1646?,Augsburg Confession,Westminster Confession of Faith,Belgic Confession,London Baptist Confession,2,7
Which confession is a Lutheran confession presented in 1530?,Augsburg Confession,Westminster Confession,Belgic Confession,Helvetic Confession,1,7
Which term refers to the list of books recognized as Scripture?,Canon,Lectionary,Apocryphon,Codex,1,4
Which term means 'God-breathed' in reference to Scripture?,Inspiration,Illumination,Sanctification,Glorification,1,4
Which doctrine teaches that Christ is fully God and fully man?,Hypostatic union,Atonement,Imputation,Regeneration,1,6
Which term describes God's creating all things out of nothing?,Creatio ex nihilo,Imago Dei,Sola fide,Extra nos,1,7
Which Latin phrase means 'Scripture alone'?,Sola fide,Sola Scriptura,Soli Deo gloria,Sola gratia,2,5
Which Latin phrase means 'by faith alone'?,Sola fide,Sola Scriptura,Sola gratia,Solus Christus,1,5
Which Greek term is commonly translated 'gospel'?,Ekklesia,Euangelion,Parousia,Koinonia,2,6
Which Greek term is commonly translated 'church' or 'assembly'?,Ekklesia,Euangelion,Parousia,Agape,1,6
Which Hebrew word is often rendered 'peace' and carries the idea of wholeness?,Shalom,Hesed,Ruach,Torah,1,5
Which Hebrew term is often used for covenant loyalty or steadfast love?,Shalom,Hesed,Ruach,Sheol,2,7
Which doctrine concerns God's final judgment and the last things?,Ecclesiology,Eschatology,Soteriology,Hamartiology,2,6
Which doctrine concerns salvation?,Soteriology,Ecclesiology,Angelology,Eschatology,1,6
