question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
What name is given to the standard Syriac version of the Bible?,Septuagint,Peshitta,Vulgate,Diatessaron,2,2
Which realm is traditionally regarded as the first to adopt Christianity as its state religion?,Kingdom of Iberia,Kingdom of Aksum,Roman Empire,Kingdom of Armenia,4,2
Which monk is widely credited with pioneering cenobitic monasticism in Egypt?,Pachomius,Antony,Evagrius,Macarius,1,3
Which missionary became Aksum's first bishop and is linked to King Ezana's conversion?,Yared,Gregory the Illuminator,Frumentius,Pantaleon,3,3
Who is traditionally credited with creating the Armenian alphabet around 405?,Sahak Partev,Mesrop Mashtots,Nerses the Great,Gregory of Narek,2,3
Which fourth-century pilgrim described Christian worship in Jerusalem in a travel account?,Egeria,Melania the Elder,Paula,Macrina the Younger,1,3
How is Blandina described in the ancient account of the martyrs of Lyon?,A Roman aristocrat,A merchant's widow,A temple priestess,An enslaved Christian woman,4,4
Which Egyptian monastic center drew a large community of ascetics around Amoun?,Scetis,Kellia,Nitria,Tabennisi,3,4
Which emperor's reign supplies the 284 epoch for the Coptic Era of the Martyrs?,Diocletian,Decius,Valerian,Maximinus Daia,1,4
Which ancient anaphora belongs to the East Syriac liturgical tradition?,Anaphora of St. Mark,Liturgy of St. James,Liturgy of St. Basil,Anaphora of Addai and Mari,4,4
In the Letter to Diognetus Christians in the world are compared to what in the body?,Blood,Soul,Breath,Heart,2,5
In the Passion of Perpetua and Felicity what happened to Felicity shortly before their martyrdom?,She was baptized,She saw a ladder vision,She gave birth in prison,She was released then rearrested,3,5
In which city did John Cassian establish monasteries after his years among Egyptian ascetics?,Antioch,Rome,Aquileia,Marseille,4,5
Which monument erected in 781 records the Church of the East's presence in Tang China?,Xi'an Stele,Dunhuang Cross,Ordos Inscription,Rabbula Gospels,1,5
In the Shepherd of Hermas what does the tower being built in the third vision represent?,Jerusalem,The Roman Empire,The Church,The heavenly temple,3,6
How many principal evil thoughts did Evagrius Ponticus identify for ascetic self-examination?,Seven,Eight,Twelve,Forty,2,6
What title is given to Aphrahat's collection of twenty-three Syriac treatises?,The Conferences,The Asceticon,The Hymns on Faith,The Demonstrations,4,6
At which battle in 451 did Vardan Mamikonian lead Armenian forces resisting forced Zoroastrianism?,Battle of Manzikert,Battle of Avarayr,Battle of Dvin,Battle of Sardarapat,2,6
In Minucius Felix's dialogue who answers Caecilius by defending Christianity?,Octavius,Marcus,Fronto,Celsus,1,7
Which dead brother did Perpetua see thirsty and suffering in her prison visions?,Revocatus,Saturus,Dinocrates,Secundulus,3,7
Which Greek title is commonly translated as Sayings of the Desert Fathers?,Historia Monachorum,Apophthegmata Patrum,Praktikos,Lausiac History,2,7
Which see hosted the 410 synod that helped organize the Church of the East in the Persian Empire?,Edessa,Nisibis,Gundeshapur,Seleucia-Ctesiphon,4,7
Which anonymous sixth-century work supplied a major literary source for the Rule of Benedict?,Rule of Pachomius,Rule of the Four Fathers,Rule of the Master,Rule of Augustine,3,8
Which group did early heresiologists describe as rejecting marriage and abstaining from meat and wine?,Encratites,Novatians,Montanists,Melitians,1,8
