question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
In 1 Peter what animal pictures the devil prowling for someone to devour?,A hungry wolf,A coiled serpent,A roaring lion,A wandering bear,3,2
In 2 Corinthians what containers hold treasure to show that the power comes from God?,Clay jars or earthen vessels,Golden bowls,Alabaster flasks,Bronze chests,1,2
Who recognized Peter's voice at the gate of John Mark's mother's house but left him outside?,Damaris,Dorcas,Joanna,Rhoda,4,3
In Revelation what purpose do the leaves of the tree of life serve?,Feeding the living creatures,Healing the nations,Clothing the saints,Recording people's names,2,3
Why did John weep before the Lamb appeared in Revelation 5?,No one was found worthy to open the scroll,The lampstands had gone dark,The elders had left their thrones,The seals had already been broken,1,3
James compares a hearer who does not act to someone doing what?,Sowing seed without watering it,Building a house on sand,Looking in a mirror then forgetting his appearance,Lighting a lamp then hiding it,3,3
Which prophet in Acts predicted a severe famine during Claudius's reign?,Judas Barsabbas,Agabus,Silas,Manaen,2,4
Whose people told the writer of 1 Corinthians about quarrels in the church?,Stephanas's people,Crispus's people,Gaius's people,Chloe's people,4,4
In Galatians which coworker was not compelled to be circumcised?,Timothy,Silas,Titus,Epaphras,3,4
What was under the feet of the woman clothed with the sun in Revelation 12?,The moon,A crystal sea,Seven stars,A rainbow,1,4
Which god did the Lystra crowd identify with Paul because he was the chief speaker?,Zeus or Jupiter,Apollo,Ares or Mars,Hermes (Mercury or Mercurius),4,5
Who is sent in Ephesians to report the writer's circumstances and encourage the church?,Aristarchus,Tychicus,Epaphroditus,Onesimus,2,5
Where does the anchor of hope reach in Hebrews?,The heavenly city's gates,Inside the sanctuary behind the curtain,The earthly altar's courtyard,The depths beneath the sea,2,5
Which faithful witness was killed in Pergamum according to Revelation?,Artemas,Tychicus,Antipas,Epaphras,3,5
Whose house was attacked when opponents searched for Paul and Silas in Thessalonica?,Jason,Crispus,Philip,Mnason,1,6
Which Philippian coworker nearly died while carrying out the work of Christ?,Clement,Timothy,Luke,Epaphroditus,4,6
Who is told in Colossians to complete the ministry received in the Lord?,Mark,Epaphras,Archippus,Aristarchus,3,6
Who loved to be first and refused to welcome fellow believers in 3 John?,Demetrius,Gaius,Alexander,Diotrephes,4,6
Which one of the seven in Acts 6 is identified as a proselyte from Antioch?,Nicolas (Nicolaus or Nicholas),Nicanor,Timon,Parmenas,1,7
With whom at Troas was the cloak mentioned in 2 Timothy left?,Erastus,Carpus or Carpas,Crescens,Eubulus,2,7
What weather image does Jude use for corrupt intruders carried along by winds?,Storm clouds full of lightning,Morning mist over hills,Hailstones from a tempest,Waterless clouds,4,7
Whom could the fifth-trumpet locusts harm in Revelation?,People without God's seal on their foreheads,Rulers along the seacoast,Merchants mourning Babylon,Armies gathered from the east,1,7
Which early disciple from Cyprus hosted Paul and his companions as they reached Jerusalem?,Philip,Mnason,Aristarchus,Sopater,2,8
Which lawyer or expert in the law is named with Apollos at the end of Titus?,Tertullus,Sosthenes,Zenas,Erastus,3,8
