question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who was the first son born to Adam and Eve?,Seth,Cain,Abel,Enosh,2,2
Which animal spoke to Balaam?,Camel,Donkey,Ox,Horse,2,3
Who was the father of King Solomon?,Saul,David,Samuel,Nathan,2,2
Which sea did Moses lead Israel through?,Dead Sea,Red Sea,Sea of Galilee,Mediterranean Sea,2,2
Who was the mother of Isaac?,Hagar,Rebekah,Sarah,Leah,3,3
Which disciple walked on water toward Jesus?,John,Peter,Andrew,James,2,3
Which book tells the story of Queen Esther?,Ruth,Esther,Judith,Ezra,2,4
Who was the high priest when Hannah prayed for a son?,Eli,Samuel,Aaron,Zadok,1,4
Which prophet anointed David as king?,Nathan,Samuel,Elijah,Elisha,2,4
What was the name of Ruth's first husband?,Boaz,Mahlon,Chilion,Obed,2,5
Which judge killed Eglon king of Moab?,Ehud,Shamgar,Gideon,Samson,1,5
Which Gospel includes the parable of the prodigal son?,Matthew,Mark,Luke,John,3,4
Who was Paul's companion on his first missionary journey?,Silas,Barnabas,Timothy,Titus,2,4
Which city was home to Aquila and Priscilla when Paul first met them?,Corinth,Ephesus,Antioch,Tarsus,1,6
Who was the emperor when Jesus was born according to Luke?,Tiberius,Claudius,Augustus,Nero,3,5
Which Old Testament book begins with the words The words of the Preacher?,Proverbs,Ecclesiastes,Song of Songs,Job,2,5
Which prophet bought a field at Anathoth?,Isaiah,Jeremiah,Ezekiel,Hosea,2,6
Who was the father of King Hezekiah?,Ahaz,Uzziah,Jotham,Manasseh,1,6
Which council affirmed the term Theotokos for Mary?,Nicaea,Constantinople,Ephesus,Chalcedon,3,7
Which church father wrote On the Incarnation?,Augustine,Athanasius,Jerome,Ambrose,2,6
Which prophet saw four horns and four craftsmen?,Zechariah,Haggai,Malachi,Joel,1,7
Which New Testament letter mentions Onesimus by name?,Titus,Philemon,Jude,James,2,6
Which Persian official opposed Nehemiah with Sanballat?,Tobiah,Geshem,Haman,Shemiah,1,7
Which heresy taught that Christ only seemed to have a physical body?,Arianism,Docetism,Nestorianism,Donatism,2,8
