question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
How many days did God create before resting on the seventh day?,Five,Six,Seven,Eight,2,2
Which son of Jacob received an ornate robe from his father?,Reuben,Benjamin,Joseph,Judah,3,2
From which tree did God forbid Adam and Eve to eat?,Tree of Life,Fig tree,Tree of the knowledge of good and evil,Olive tree,3,2
What did Jacob use as a pillow at Bethel?,A folded cloak,A stone,A bundle of reeds,A saddle,2,3
What sign marked God's covenant with Noah after the flood?,A pillar of fire,A stone altar,A burning bush,A rainbow,4,3
What was placed on Israelite doorframes at the first Passover?,Olive oil,Blood from the Passover animal,Unleavened dough,Incense,2,3
Who accompanied Abram from Haran and later settled near Sodom?,Nahor,Eliezer,Lot,Ephron,3,4
What new name did God give Jacob?,Edom,Israel,Jeshurun,Ephraim,2,4
Who fashioned the golden calf at Mount Sinai?,Hur,Joshua,Bezalel,Aaron,4,4
How many spies did Moses send to explore Canaan?,Seven,Ten,Twelve,Forty,3,4
How many daughters did Zelophehad have?,Three,Five,Seven,Ten,2,4
Which son of Jacob offered himself as a personal guarantee for Benjamin?,Joseph,Reuben,Judah,Levi,3,5
What was the name of Moses' wife?,Miriam,Asenath,Zipporah,Keturah,3,5
Which tribe was set apart for service at the Tabernacle?,Judah,Levi,Issachar,Benjamin,2,5
What happened to Dathan and Abiram during their rebellion?,They were exiled to Moab,They became lepers,They were imprisoned,The ground swallowed them,4,5
Who was Bezalel's grandfather according to Exodus?,Nahshon,Amminadab,Uri,Hur,4,6
From whom did Abraham buy the cave of Machpelah?,Abimelech,Ephron the Hittite,Melchizedek,Mamre,2,6
On which mountain were Israel's blessings to be proclaimed?,Mount Ebal,Mount Hor,Mount Gerizim,Mount Nebo,3,6
What did Moses make when fiery serpents afflicted Israel?,A bronze serpent,A golden censer,A silver trumpet,A wooden staff,1,6
How many cities of refuge were designated for Israel?,Three,Four,Five,Six,4,6
What name did Hagar use for the God who saw her?,El Elyon,El Roi,El Shaddai,Yahweh Jireh,2,7
At which place did Israel find bitter water after crossing the sea?,Elim,Marah,Rephidim,Kadesh,2,7
Whose iron bedstead is described in Deuteronomy?,Sihon,Amalek,Og king of Bashan,Balak,3,7
Which Israelite man did Phinehas kill together with Cozbi?,Korah,Hobab,Zur,Zimri son of Salu,4,8
