question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Jerusalem was the principal city of which Roman province during the ministry of Jesus?,Galilee,Samaria,Judea,Idumea,3,2
Which body of water did Jesus and his disciples often cross near Capernaum?,Dead Sea,Sea of Galilee,Mediterranean Sea,Sea of Reeds,2,2
Which body of water was also known as the Lake of Gennesaret?,Dead Sea,Sea of Galilee,Mediterranean Sea,Sea of Reeds,2,3
What Roman coin did Jesus request when questioned about taxes to Caesar?,Denarius,Drachma,Stater,Lepton,1,3
Bethlehem lies about six miles south of which city?,Jericho,Hebron,Jerusalem,Samaria,3,3
Which village near Jerusalem was home to Mary Martha and Lazarus?,Bethphage,Bethany,Emmaus,En Gedi,2,4
Which region lay between Judea and Galilee?,Perea,Samaria,Decapolis,Idumea,2,4
What was Golgotha said to mean?,Place of Sacrifice,Place of a Skull,Mount of Olives,Valley of Judgment,2,4
What kind of bread was eaten during the Passover festival?,Barley loaves,Leavened cakes,Unleavened bread,Fig cakes,3,4
What were phylacteries in first-century Jewish practice?,Small boxes containing Scripture passages,Coins offered at the Temple,Cups used for ritual washing,Lamps burned during Passover,1,4
Which synagogue leader asked Jesus to heal his daughter?,Jairus,Nicodemus,Bartimaeus,Simon of Cyrene,1,4
Which Jerusalem pool was near the Sheep Gate and had five colonnades?,Bethesda,Siloam,Gihon,Solomon's Pool,1,5
The name Decapolis referred to a group of how many cities?,Seven,Ten,Twelve,Twenty,2,5
Under customary Jewish daylight reckoning the sixth hour was roughly what time?,6 a.m.,9 a.m.,Noon,3 p.m.,3,5
Which coastal city served as the Roman governors' administrative center for Judea?,Caesarea Maritima,Jerusalem,Antipatris,Joppa,1,5
Near which Samaritan town was Jacob's well?,Sychar,Shiloh,Sepphoris,Sebaste,1,6
In the parable of the good Samaritan the attacked traveler was heading toward which city?,Bethlehem,Jericho,Hebron,Nazareth,2,6
In Mark 7 the designation Corban meant a gift devoted to whom?,God,Temple guards,The poor,One's parents,1,6
In Athens what site where Paul spoke is also called Mars Hill?,Areopagus,Pnyx,Acropolis,Agora,1,6
On which island were the ancient cities of Salamis and Paphos?,Crete,Cyprus,Malta,Sicily,2,6
Which spring fed Hezekiah's tunnel leading toward the Pool of Siloam?,Gihon Spring,En Rogel,Jordan River,Spring of Harod,1,7
The Aramaic name Gabbatha referred to which location in Jerusalem?,The Stone Pavement,The Sheep Gate,The Upper Room,The Temple treasury,1,7
Which Nabataean king ruled when an ethnarch guarded Damascus according to 2 Corinthians?,Herod Agrippa I,Aretas IV,Tiberius,Malichus II,2,7
According to Acts 27 which Cretan harbor was considered unsuitable for spending the winter?,Phoenix,Lasea,Fair Havens,Myra,3,8
