question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who interpreted Pharaoh's dreams?,Moses,Daniel,Joseph,Aaron,3,2
Which epistle is addressed to a runaway slave's master?,Titus,Philemon,Colossians,2 Timothy,2,6
Who was the mother of Samuel?,Naomi,Hannah,Elizabeth,Miriam,2,3
"Which church father was known as the ""Golden-Mouthed"" preacher?",Chrysostom,Ambrose,Clement,Polycarp,1,7
Who was thrown into a den of lions?,Jeremiah,Daniel,Ezekiel,Amos,2,2
What was Paul's occupation?,Fisherman,Tax collector,Tentmaker,Physician,3,4
Which prophet confronted David after his sin with Bathsheba?,Nathan,Gad,Elijah,Samuel,1,4
Who wrote the Book of Revelation?,Peter,Paul,John,James,3,3
Which council affirmed the full deity of the Holy Spirit?,Nicaea I,Constantinople I,Ephesus,Orange,2,8
Who was Esther's cousin and guardian?,Ezra,Mordecai,Nehemiah,Haggai,2,4
Which king's feast featured handwriting on the wall?,Nebuchadnezzar,Darius,Belshazzar,Cyrus,3,5
Who climbed a sycamore tree to see Jesus?,Bartimaeus,Zacchaeus,Jairus,Cornelius,2,2
Which apostle doubted the resurrection until he saw Jesus?,Thomas,Philip,Andrew,Matthew,1,2
Who was the father of King David?,Boaz,Obed,Jesse,Samuel,3,3
Which church father was a disciple of the Apostle John according to tradition?,Polycarp,Origen,Tertullian,Cyprian,1,7
Who rebuilt the walls of Jerusalem?,Ezra,Nehemiah,Zerubbabel,Haggai,2,4
Which prophet married Gomer?,Amos,Hosea,Joel,Micah,2,5
What island did Paul visit after being shipwrecked?,Crete,Cyprus,Malta,Patmos,3,5
Which king humbled himself after living like an animal?,Ahab,Nebuchadnezzar,Belshazzar,Jehoiakim,2,6
Who was the Roman governor who sentenced Jesus to crucifixion?,Felix,Festus,Pilate,Gallio,3,2
Which church father opposed Pelagius?,Athanasius,Augustine,Jerome,Ignatius,2,7
Who was the first king of Israel?,David,Saul,Solomon,Samuel,2,2
