question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
What metal were Israel's two signaling trumpets made from?,Bronze,Silver,Gold,Iron,2,2
Which working animal was not to be muzzled while treading grain?,A donkey,A mule,A camel,An ox,4,2
Which traits made a land animal permitted for food in Leviticus?,A split hoof and chewing the cud,An undivided hoof and chewing the cud,A split hoof without chewing the cud,Paws and a plant-based diet,1,3
Where was the live goat sent after Israel's sins were confessed over it?,To a nearby village,To the priests' camp,Into the wilderness,To Mount Sinai,3,3
Which food did Israel recall eating in Egypt along with melons and leeks?,Dates,Olives,Grapes,Cucumbers,4,3
What grew on Aaron's staff after it budded and blossomed?,Olives,Almonds,Figs,Pomegranates,2,3
In which year could Israelites begin eating fruit from a newly planted tree?,The third year,The fourth year,The fifth year,The seventh year,3,4
What color cord was placed on the corner tassels of Israelite garments?,Blue,Scarlet,Purple,White,1,4
What feature was required around the roof of a new house?,A shade awning,A parapet or railing,A drainage gutter,A lattice screen,2,4
How long was a newly married man excused from military duty?,One month,Six months,Two years,One year,4,4
How were the twelve loaves arranged before the LORD?,In one group of twelve,In three groups of four,In six groups of two,In two groups of six,4,5
What must never have been placed on the red heifer?,A saddle,A yoke,A bell,A blanket,2,5
What determined whether Israel could cut down a tree during a siege?,Whether it produced food,Its distance from the city,Its age,Its height,1,5
How many witnesses were required at minimum to establish a charge?,One witness,Four witnesses,Two witnesses,Seven witnesses,3,5
How many cycles of seven years were counted before the Jubilee?,Six cycles,Seven cycles,Ten cycles,Twelve cycles,2,6
What happened to a clay pot used to boil a sin offering?,It was purified with oil,It was returned to its owner,It was stored outside the camp,It was broken,4,6
In which month was the delayed Passover observed?,The first month,The seventh month,The second month,The tenth month,3,6
When did Deuteronomy require a body hung on a tree to be buried?,The same day,After seven days,At the next new moon,After the siege,1,6
Which plant accompanied the birds and cedarwood in a cleansing rite?,Hyssop,Mint,Coriander,Dill,1,7
Which numbered herd or flock animal passing under the rod became holy to the Lord?,Every first animal,Every seventh animal,Every fifth animal,Every tenth animal,4,7
What event allowed a protected manslayer to return home?,The end of the harvest,The high priest's death,The next Jubilee,Payment of a fine,2,7
What coated the stones on which Israel was to write the Law?,Oil,Clay,Plaster,Pitch,3,7
Which priest went against Midian with the holy objects and signaling trumpets?,Eleazar,Ithamar,Phinehas,Aaron,3,8
In which generation could an Edomite's descendants enter the LORD's assembly?,The third generation,The second generation,The fourth generation,The seventh generation,1,8
