question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who built an ark before the flood?,Abraham,Noah,Moses,Jacob,2,2
Which city was David's capital?,Hebron,Jerusalem,Samaria,Bethel,2,2
Who was sold by his brothers into Egypt?,Joseph,Benjamin,Judah,Reuben,1,3
Which river did John the Baptist use for baptizing?,Jordan,Nile,Euphrates,Kishon,1,3
Who was the sister of Mary and Lazarus?,Martha,Salome,Joanna,Susanna,1,3
Which king spared Agag and lost God's favor?,David,Saul,Solomon,Ahab,2,4
Which prophet succeeded Moses as leader only after Moses died?,Aaron,Caleb,Joshua,Eleazar,3,4
What was the name of Abraham's servant who sought a wife for Isaac?,Eliezer,Gehazi,Ziba,Baruch,1,8
Which apostle was also called Didymus?,Thomas,Philip,Matthew,Jude,1,4
Which book records Paul's shipwreck on Malta?,Acts,Romans,Galatians,Hebrews,1,4
Who helped Paul after his conversion in Jerusalem?,Barnabas,Silas,Mark,Luke,1,5
Which prophet confronted King Ahab about Naboth's vineyard?,Elijah,Micaiah,Elisha,Nathan,1,5
Which son of David rebelled and was caught by his hair?,Amnon,Absalom,Adonijah,Solomon,2,5
Which book says the righteous shall live by his faith?,Nahum,Habakkuk,Zephaniah,Malachi,2,6
Who was Timothy's grandmother?,Lois,Eunice,Claudia,Tryphena,1,7
Which church received the letter that says you have left your first love?,Smyrna,Ephesus,Pergamum,Sardis,2,6
Which bishop of Smyrna was martyred in the second century?,Polycarp,Ignatius,Irenaeus,Clement,1,6
Which apologist wrote the First Apology to a Roman emperor?,Justin Martyr,Tertullian,Origen,Athenagoras,1,6
Which prophet saw a basket of summer fruit?,Amos,Joel,Micah,Zechariah,1,7
Which Judean governor rebuilt the altar before the second Temple was completed?,Nehemiah,Zerubbabel,Ezra,Sheshbazzar,2,7
Which doctrine did Arius deny about the Son?,Eternal generation,Infant baptism,Original sin,Clerical celibacy,1,8
Which deacon was one of the seven and later evangelized Samaria?,Stephen,Nicanor,Philip,Prochorus,3,6
Which king of Assyria captured Samaria?,Sennacherib,Shalmaneser,Tiglath-pileser,Esarhaddon,2,7
Which Latin phrase means from the Son in the Nicene Creed controversy?,Filioque,Sola fide,Homoousios,Imago Dei,1,8
