question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which book contains the Hall of Faith?,Romans,Hebrews,James,Galatians,2,5
Which epistle emphasizes that faith without works is dead?,Romans,James,Galatians,Ephesians,2,4
Which book says all Scripture is breathed out by God?,1 Timothy,2 Timothy,Titus,Hebrews,2,5
Which church was told it had abandoned its first love in Revelation?,Smyrna,Pergamum,Ephesus,Laodicea,3,6
Which church in Revelation was lukewarm?,Sardis,Laodicea,Philadelphia,Thyatira,2,5
Which Old Testament book never directly names God?,Ruth,Esther,Song of Songs,Ecclesiastes,2,6
Which short prophetic book is addressed against Edom?,Obadiah,Nahum,Habakkuk,Zephaniah,1,6
Which prophet warned Nineveh after Jonah's time?,Nahum,Joel,Micah,Haggai,1,7
Which book records Balaam's donkey speaking?,Exodus,Numbers,Deuteronomy,Joshua,2,5
Which priestly family line did John the Baptist's father belong to?,Abijah,Zadok,Aaron's firstborn only,Levi's sons of Gershon,1,8
Which high priest questioned Jesus before He was sent to Pilate?,Annas and Caiaphas,Zadok and Abiathar,Eli and Phinehas,Eleazar and Ithamar,1,6
Who buried Jesus in his own new tomb?,Nicodemus,Joseph of Arimathea,Simon of Cyrene,Cleopas,2,4
Who visited Jesus by night in John 3?,Nicodemus,Joseph of Arimathea,Gamaliel,Jairus,1,3
Who was the teacher of the law who advised caution toward the apostles in Acts 5?,Gamaliel,Tertullus,Sosthenes,Apollos,1,7
Which prophet's bones revived a dead man when the body touched them?,Elijah,Elisha,Samuel,Moses,2,7
Which king consulted the medium at Endor?,Saul,David,Ahab,Manasseh,1,5
Which queen visited Solomon?,Queen of Sheba,Queen Vashti,Queen Esther,Queen Candace,1,4
Which king's wife was Jezebel?,Ahab,Omri,Jehu,Ahaziah,1,4
Who killed Goliath?,Saul,Jonathan,David,Abner,3,2
Who was Moses' sister?,Miriam,Deborah,Huldah,Naomi,1,3
Which prophetess found in 2 Kings authenticated the Book of the Law?,Deborah,Huldah,Miriam,Anna,2,7
Which prophetess recognized the infant Jesus in the Temple?,Deborah,Huldah,Anna,Miriam,3,5
Which church father wrote Against Heresies?,Origen,Tertullian,Irenaeus,Athanasius,3,6
