question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which church father is known for his work Against Heresies?,Origen,Tertullian,Irenaeus,Athanasius,3,6
Which Old Testament prophet was a contemporary of Haggai?,Micah,Zechariah,Joel,Amos,2,7
Who succeeded Moses as leader of Israel?,Aaron,Joshua,Caleb,Eleazar,2,2
Which council condemned Arius?,Council of Chalcedon,Council of Nicaea,Council of Ephesus,Council of Orange,2,6
What was the name of Ruth's mother-in-law?,Naomi,Miriam,Deborah,Hannah,1,2
Which king ordered the rebuilding of the Temple after the exile?,Darius,Cyrus,Artaxerxes,Xerxes,2,5
Who wrote the majority of the New Testament epistles?,Peter,John,Paul,James,3,2
Which church father translated the Bible into Latin (the Vulgate)?,Augustine,Jerome,Chrysostom,Origen,2,5
Which tribe settled on the western side of the Sea of Galilee?,Judah,Naphtali,Benjamin,Simeon,2,8
Who was the father of John the Baptist?,Zechariah,Joachim,Cornelius,Simeon,1,3
What was the first plague in Egypt?,Frogs,Darkness,Water to blood,Hail,3,2
Which king was known for discovering the Book of the Law during Temple repairs?,Hezekiah,Josiah,Uzziah,Jehoshaphat,2,5
Who preached the sermon at Pentecost?,Paul,James,Peter,John,3,2
Which church father wrote The City of God?,Jerome,Augustine,Athanasius,Cyprian,2,5
Who was the judge that defeated Midian with 300 men?,Samson,Gideon,Jephthah,Ehud,2,4
Which book immediately follows Joshua?,Judges,Ruth,1 Samuel,Deuteronomy,1,2
What was the name of Abraham's nephew?,Lot,Laban,Ishmael,Esau,1,3
Which apostle was known as the beloved disciple?,Peter,James,John,Andrew,3,4
Who was the first Christian martyr?,Stephen,James,Philip,Barnabas,1,4
"Which church father famously said ""Our hearts are restless until they rest in You""?",Origen,Athanasius,Augustine,Jerome,3,6
What city was Jonah sent to preach against?,Babylon,Nineveh,Tyre,Damascus,2,3
Which king built the first Temple in Jerusalem?,David,Hezekiah,Josiah,Solomon,4,2
