question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
In which land did Job live?,Edom,Uz,Moab,Midian,2,2
Which image describes the person who delights in the LORD's instruction in Psalm 1?,A lamp in a dark house,A dove above the hills,A ship on calm seas,A tree by streams of water,4,2
Which of Job's three friends is identified as a Shuhite?,Bildad,Eliphaz,Zophar,Elihu,1,3
Which friend delivers the first speech after Job's lament?,Bildad,Zophar,Eliphaz,Elihu,3,3
Which crisis is named in Psalm 3's superscription?,Saul's pursuit at Keilah,David's flight from Absalom,Sheba's revolt against David,Jerusalem's capture by Babylon,2,3
Which group is repeatedly addressed by name in Song of Songs?,The daughters of Jerusalem,The women of Bethlehem,The maidens of Shunem,The singers of Zion,1,3
Which psalm's heading calls it a song for the Sabbath day?,Psalm 32,Psalm 72,Psalm 122,Psalm 92,4,4
Which group is named in the heading of Psalm 42?,Asaph's singers,The sons of Korah,The family of Ethan,Jeduthun's musicians,2,4
Which chapter immediately follows Proverbs' opening instructions and begins Solomon's proverbs?,Chapter 22,Chapter 25,Chapter 10,Chapter 30,3,4
What Hebrew title identifies Ecclesiastes' main speaker?,Maskil,Miktam,Selah,Qoheleth,4,4
In Job which creature has a tail compared to a cedar?,Behemoth,Leviathan,The wild donkey,The war horse,1,5
What collection label begins at Proverbs 22:17?,The proverbs of Solomon,The words of Agur,The words of the wise,The sayings of Lemuel,3,5
Ecclesiastes compares the words of the wise to which pointed tools?,Pruning hooks,Goads,Tent pegs,Arrows,2,5
How many warriors form the guard in Solomon's procession in Song of Songs 3?,Thirty,Forty,Fifty,Sixty,4,5
How many psalms carry the heading A Song of Ascents?,Twelve,Eighteen,Fifteen,Twenty-two,3,6
Whose men copied the proverbs beginning in Proverbs 25?,Hezekiah's men,Solomon's scribes,Josiah's priests,Ezra's teachers,1,6
In Ecclesiastes' story of a besieged little city who had the wisdom to deliver it?,A wealthy merchant,A retired soldier,A visiting prophet,A poor wise man,4,6
In Song of Songs which city joins Jerusalem in a comparison of the beloved?,Hebron,Samaria,Tirzah,Shunem,3,6
Who is named as Elihu's father in Job?,Barachel,Bildad,Zophar,Jakeh,1,7
Who is named in Psalm 7's superscription as a Benjaminite?,Kish,Cush,Shimei,Bichri,2,7
Who is named as Agur's father in Proverbs 30?,Lemuel,Ithiel,Jakeh,Ucal,3,7
What poetic structure shapes Proverbs 31:10-31 in Hebrew?,An alphabetic acrostic,A dialogue cycle,A royal genealogy,A refrain lament,1,7
Who is the final named human speaker before the LORD answers Job?,Eliphaz,Zophar,Bildad,Elihu,4,8
Which pair of psalms has superscriptions naming Solomon?,Psalms 45 and 72,Psalms 72 and 127,Psalms 90 and 127,Psalms 101 and 110,2,8
