question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which book contains the Hall of Faith?,Romans,Hebrews,James,Galatians,2,5
Who was known as the weeping prophet?,Isaiah,Jeremiah,Ezekiel,Hosea,2,4
Which church father defended the Trinity against Arianism?,Athanasius,Origen,Clement,Cyprian,1,7
Who succeeded Elijah?,Elisha,Isaiah,Micah,Nahum,1,4
What was the name of Moses' sister?,Deborah,Miriam,Hannah,Abigail,2,3
Which king issued the decree allowing Jews to return from Babylon?,Artaxerxes,Cyrus,Darius,Xerxes,2,5
Who wrote most of Proverbs?,David,Asaph,Solomon,Agur,3,3
Which apostle was exiled to Patmos?,Peter,Paul,John,Thomas,3,4
Who was Abraham's first son?,Isaac,Jacob,Ishmael,Esau,3,4
Which church father authored the Confessions?,Augustine,Jerome,Origen,Ambrose,1,6
Who raised Eutychus after he fell from a window?,Peter,Paul,John,Barnabas,2,6
Which king celebrated a notable Passover revival in Judah?,Ahab,Hezekiah,Jehoiakim,Omri,2,7
Who was the father of John Mark?,Barnabas,Not named in Scripture,Peter,Aristarchus,2,8
Which prophet interpreted Nebuchadnezzar's dreams?,Ezekiel,Daniel,Jeremiah,Hosea,2,4
Who was Lydia?,A seller of purple cloth,A prophetess,A queen,A deaconess in Jerusalem,1,5
Which church father taught Gregory Nazianzen and Basil?,Ambrose,Athanasius,Gregory Thaumaturgus,None of these,4,8
Who was David's closest friend among Saul's family?,Jonathan,Abner,Ishbosheth,Joab,1,3
Which New Testament book is addressed to Theophilus?,Luke,Acts,Both Luke and Acts,Romans,3,6
Who was the judge who made a rash vow concerning his daughter?,Gideon,Jephthah,Samson,Ehud,2,6
Which council produced the definition of Christ's two natures?,Nicaea,Ephesus,Chalcedon,Orange,3,8
Who was the mother of King Lemuel according to Proverbs 31?,Bathsheba,Not explicitly identified,Abigail,Naomi,2,8
Which apostle brought Nathanael to Jesus?,Andrew,Philip,James,Thomas,2,7
Who was the Roman centurion converted in Acts 10?,Cornelius,Julius,Claudius Lysias,Longinus,1,4
