question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who built the ark before the great flood?,Noah,Moses,Abraham,David,1,1
What planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,1,1
Who was swallowed by a great fish?,Jonah,Peter,Paul,Samuel,1,1
What is the name of Earth's moon?,Europa,Titan,The Moon,Phobos,3,1
Who led the Israelites out of Egypt?,Moses,Joshua,Elijah,Isaiah,1,1
What star is at the center of our solar system?,Polaris,Sirius,The Sun,Vega,3,1
What giant did David defeat?,Goliath,Nebuchadnezzar,Pharaoh,Esau,1,1
What do astronauts wear in space to stay safe?,Raincoat,Spacesuit,Armor,Wetsuit,2,1
Who was Jesus' mother?,Mary,Martha,Ruth,Esther,1,1
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Neptune,3,2
How many disciples did Jesus choose?,7,10,12,14,3,2
What planet has famous rings around it?,Mercury,Saturn,Venus,Mars,2,1
Who climbed a tree to see Jesus?,Zacchaeus,Barnabas,Timothy,Andrew,1,2
What was the first spacecraft to land humans on the Moon?,Apollo 11,Voyager 1,Gemini 4,Skylab,1,3
Who was thrown into a den of lions?,Daniel,Joseph,Jacob,Isaac,1,1
What galaxy contains our solar system?,Andromeda,Whirlpool,Milky Way,Sombrero,3,2
What was the name of Jesus' earthly father?,Joseph,James,John,Philip,1,2
Which planet is closest to the Sun?,Mercury,Earth,Mars,Neptune,1,2
Who received the Ten Commandments from God?,Moses,Aaron,Samuel,David,1,2
What vehicle launches astronauts into space?,Submarine,Train,Rocket,Helicopter,3,1
What city was Jesus born in?,Nazareth,Bethlehem,Jerusalem,Capernaum,2,2
What do we call a person who travels into space?,Pilot,Sailor,Astronaut,Explorer,3,1
