question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which prophet challenged the prophets of Baal on Mount Carmel?,Elijah,Elisha,Isaiah,Jeremiah,1,4
Who succeeded Elijah as prophet?,Elisha,Isaiah,Micah,Nahum,1,4
Which king found the Book of the Law during Temple repairs?,Hezekiah,Josiah,Uzziah,Jehoshaphat,2,5
Who rebuilt Jerusalem's walls after the exile?,Ezra,Nehemiah,Zerubbabel,Haggai,2,4
Which book records the rebuilding of the Temple after the exile?,Nehemiah,Ezra,Esther,Chronicles,2,5
Who was Esther's cousin and guardian?,Ezra,Mordecai,Nehemiah,Haman,2,4
Which king's feast featured writing on the wall?,Nebuchadnezzar,Darius,Belshazzar,Cyrus,3,5
Who interpreted Nebuchadnezzar's dreams?,Daniel,Ezra,Nehemiah,Mordecai,1,4
Which prophet saw a valley of dry bones?,Isaiah,Ezekiel,Joel,Habakkuk,2,5
Which prophet married Gomer?,Hosea,Amos,Micah,Nahum,1,5
Which prophet foretold the Messiah's birth in Bethlehem?,Micah,Nahum,Obadiah,Joel,1,7
Who was the Roman governor at Jesus' trial?,Felix,Festus,Pilate,Gallio,3,3
Who carried Jesus' cross?,Joseph of Arimathea,Simon of Cyrene,Nicodemus,Andrew,2,4
Which island received Paul after his shipwreck?,Crete,Cyprus,Malta,Patmos,3,5
Who instructed the Ethiopian eunuch?,Peter,Paul,Philip,Silas,3,5
Which apostle was exiled to Patmos?,Peter,Paul,John,Thomas,3,4
Who was the first Christian martyr?,James,Stephen,Philip,Barnabas,2,4
Which apostle was a tentmaker by trade?,Peter,Paul,John,Matthew,2,4
Who restored Saul's sight after Damascus?,Ananias,Barnabas,Silas,Philip,1,6
Which woman opened her home to Paul in Philippi?,Phoebe,Lydia,Priscilla,Tabitha,2,4
Which book contains the fruit of the Spirit?,Romans,Ephesians,Galatians,Colossians,3,3
Which New Testament book is addressed to a runaway slave's master?,Titus,Philemon,Colossians,2 Timothy,2,6
Who taught Apollos more accurately?,Peter and John,Priscilla and Aquila,Paul and Barnabas,Silas and Timothy,2,6
