question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which Byzantine emperor commissioned the sixth-century rebuilding of Hagia Sophia?,Constantine I,Theodosius II,Justinian I,Heraclius,3,2
Who is traditionally credited with writing The Imitation of Christ?,Thomas a Kempis,Jean Gerson,Geert Groote,Jan van Ruusbroec,1,2
Which alphabet was devised for the Slavic mission of Cyril and Methodius?,Cyrillic,Armenian,Georgian,Glagolitic,4,3
Which ruler's baptism is linked to the official Christianization of Kyivan Rus in 988?,Yaroslav the Wise,Volodymyr the Great,Sviatoslav I,Oleh of Kyiv,2,3
Which monastic order began at Citeaux in 1098?,Cluniacs,Carthusians,Cistercians,Camaldolese,3,3
What name was given to medieval lay religious women who formed communities without permanent vows?,Canonesses,Anchorites,Tertiaries,Beguines,4,3
Which empress ended the second period of Byzantine Iconoclasm by restoring icons in 843?,Theodora,Irene,Zoe,Pulcheria,1,4
Who became the first archbishop of the autocephalous Serbian Church in 1219?,Stefan Nemanja,Sava,Stefan Decanski,Danilo II,2,4
Which work by Peter Lombard became a standard medieval theology textbook?,Proslogion,Sic et Non,Summa contra Gentiles,Four Books of Sentences,4,4
Who founded the Brethren of the Common Life associated with the Devotio Moderna?,Geert Groote,Thomas a Kempis,Jan van Ruusbroec,Nikolaus von Zinzendorf,1,4
Which work of John of Damascus covers dialectic and heresies as well as the Orthodox faith?,The Ladder of Divine Ascent,Three Treatises on Images,The Fount of Knowledge,The Philokalia,3,5
Who founded the Carthusian community at Grande Chartreuse in 1084?,Romuald,Bruno of Cologne,Robert of Molesme,John Gualbert,2,5
Which work by Peter Abelard arranged apparently conflicting authorities for comparison?,Sic et Non,The Sentences,Metalogicon,Cur Deus Homo,1,5
Which Franciscan missionary became the first archbishop of Khanbaliq in China?,William of Rubruck,Giovanni da Pian del Carpine,Odoric of Pordenone,John of Montecorvino,4,5
At which Constantinople monastery did Theodore lead a major monastic reform?,Chora Monastery,Stoudios Monastery,Pantokrator Monastery,Mangana Monastery,2,6
Which theologian defended hesychasm using a distinction between divine essence and energies?,Barlaam of Calabria,Mark of Ephesus,Gregory Palamas,Nicholas Cabasilas,3,6
Which monastic tradition traces its origins to Romuald's work in central Italy?,Camaldolese,Vallombrosans,Premonstratensians,Cistercians,1,6
Which English anchoress wrote the work commonly called Revelations of Divine Love?,Margery Kempe,Catherine of Siena,Julian of Norwich,Bridget of Sweden,3,6
What title is commonly used for Photius's collection of summaries of books he had read?,Chronographia,The Alexiad,De Ceremoniis,Bibliotheca,4,7
Which Greek bishop refused to sign the decree of union at the Council of Florence in 1439?,Bessarion of Nicaea,Mark of Ephesus,Isidore of Kyiv,Dorotheus of Trebizond,2,7
Which reforming abbot adapted Cluniac customs for a German monastery?,Odo of Cluny,Peter Damian,William of Hirsau,Richard of Saint-Vanne,3,7
Which pope issued Parens scientiarum in 1231 to confirm the University of Paris's privileges?,Gregory IX,Innocent III,Honorius III,Alexander IV,1,7
Which bishop issued the Paris condemnation of 219 propositions in 1277?,William of Auvergne,Stephen Tempier,Robert de Courcon,Peter of Corbeil,2,8
At which Majorcan site was a school established at Ramon Llull's urging to train missionaries in Arabic?,Randa,Palma,Montpellier,Miramar,4,8
